fact_unit,2012-11-14,2013-02-28,2013-05-03,2013-08-02,2013-09-06,2013-11-07,2014-02-26,2014-05-05,2014-07-31,2014-10-31,2015-02-26,2015-04-29,2015-07-29,2015-10-30,2016-02-24,2016-04-29,2016-08-02,2016-11-01,2017-02-22,2017-05-02,2017-08-01,2017-10-31,2018-02-28,2018-05-01,2018-07-31,2018-10-30,2019-02-27,2019-04-30,2019-07-30,2019-10-29,2020-02-26,2020-04-30,2020-07-29,2020-11-03,2021-02-24,2021-05-04,2021-08-03,2021-11-02,2022-02-23,2022-05-03,2022-08-02,2022-11-01,2023-02-23,2023-05-02,2023-08-01,2023-10-31,2024-02-29,2024-04-30,2024-08-01,2024-10-31,2025-02-27,2025-05-02,2025-08-05,2025-11-04
AccountsPayableCurrent / USD,,1491000000.0,1879000000.0,1879000000.0,1491000000.0,1879000000.0,1879000000.0,1960000000.0,1960000000.0,1960000000.0,1960000000.0,1940000000.0,1940000000.0,1940000000.0,1940000000.0,1758000000.0,1758000000.0,1758000000.0,1758000000.0,1718000000.0,1718000000.0,1718000000.0,1718000000.0,2166000000.0,2166000000.0,2166000000.0,2166000000.0,2130000000.0,2130000000.0,2130000000.0,2130000000.0,2114000000.0,2114000000.0,2114000000.0,2114000000.0,1987000000.0,1987000000.0,1987000000.0,1987000000.0,2797000000.0,2797000000.0,2797000000.0,2797000000.0,3072000000.0,3072000000.0,3072000000.0,3072000000.0,3365000000.0,3365000000.0,3365000000.0,3365000000.0,3678000000.0,3678000000.0,3678000000.0
AccrualForEnvironmentalLossContingencies / USD,,62000000.0,,,62000000.0,,158000000.0,,,,149000000.0,,,,140000000.0,,,,131000000.0,,,,124000000.0,,,,120000000.0,,,,116000000.0,,,,104000000.0,,,,103000000.0,,,,99000000.0,,,,73000000.0,,,,71000000.0,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,3592000000.0,,,3592000000.0,,3831000000.0,,,,4132000000.0,,,,4214000000.0,,,,4319000000.0,4596000000.0,4596000000.0,4596000000.0,4596000000.0,5003000000.0,5003000000.0,5003000000.0,5003000000.0,5105000000.0,5105000000.0,5105000000.0,5105000000.0,5210000000.0,5210000000.0,5210000000.0,5210000000.0,4624000000.0,4624000000.0,4624000000.0,4624000000.0,4754000000.0,4754000000.0,4754000000.0,4754000000.0,4867000000.0,4867000000.0,4867000000.0,4867000000.0,5208000000.0,5208000000.0,5208000000.0,5208000000.0,5333000000.0,5333000000.0,5333000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,,-1964000000.0,,,-1964000000.0,,-1964000000.0,,,,-1560000000.0,,,,-2899000000.0,,,,-3863000000.0,,,,-4448000000.0,,,,-3404000000.0,-4145000000.0,-4145000000.0,-4145000000.0,-4145000000.0,-4290000000.0,-4290000000.0,-4290000000.0,-4290000000.0,-4195000000.0,-4195000000.0,-4195000000.0,-4195000000.0,-3633000000.0,-3633000000.0,-3633000000.0,-3633000000.0,-3946000000.0,-3946000000.0,-3946000000.0,-3946000000.0,-3906000000.0,-3906000000.0,-3906000000.0,-3906000000.0,-4342000000.0,-4342000000.0,-4342000000.0
AdditionalPaidInCapitalCommonStock / USD,,4169000000.0,,,4169000000.0,,11271000000.0,,,,11483000000.0,,,,11605000000.0,,,,11701000000.0,,,,11845000000.0,,,,11987000000.0,12090000000.0,12090000000.0,12090000000.0,12090000000.0,12200000000.0,12200000000.0,12200000000.0,12200000000.0,12329000000.0,12329000000.0,12329000000.0,12329000000.0,12449000000.0,12449000000.0,12449000000.0,12449000000.0,12512000000.0,12512000000.0,12512000000.0,12512000000.0,12634000000.0,12634000000.0,12634000000.0,12634000000.0,12731000000.0,12731000000.0,12731000000.0
AllowanceForDoubtfulAccountsReceivable / USD,,,,,,,,,,,,,,,,,,,,,,,50000000.0,,,,57000000.0,,,,55000000.0,49000000.0,49000000.0,49000000.0,49000000.0,48000000.0,48000000.0,48000000.0,48000000.0,42000000.0,42000000.0,42000000.0,42000000.0,31000000.0,31000000.0,31000000.0,31000000.0,38000000.0,38000000.0,38000000.0,38000000.0,55000000.0,55000000.0,55000000.0
AmortizationOfIntangibleAssets / USD,,181000000.0,42000000.0,84000000.0,181000000.0,129000000.0,190000000.0,,,,424000000.0,,,,401000000.0,,,,392000000.0,,,,383000000.0,,,,368000000.0,,,,354000000.0,,,,342000000.0,,,,431000000.0,,200000000.0,326000000.0,483000000.0,128000000.0,250000000.0,375000000.0,432000000.0,124000000.0,237000000.0,344000000.0,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,6900000.0,900000.0,1700000.0,6900000.0,2500000.0,1500000.0,100000.0,100000.0,200000.0,2200000.0,100000.0,300000.0,300000.0,200000.0,900000.0,1100000.0,1300000.0,500000.0,2400000.0,1900000.0,1800000.0,1600000.0,1200000.0,700000.0,600000.0,1700000.0,100000.0,300000.0,400000.0,400000.0,1600000.0,1200000.0,1100000.0,500000.0,300000.0,1000000.0,800000.0,800000.0,100000.0,100000.0,100000.0,600000.0,,100000.0,100000.0,100000.0,,100000.0,100000.0,100000.0,,100000.0,
Assets / USD,4776348.0,17252000000.0,35848000000.0,36284000000.0,17252000000.0,35350000000.0,17873000000.0,35491000000.0,35491000000.0,35491000000.0,35810000000.0,33529000000.0,33529000000.0,33529000000.0,35491000000.0,30996000000.0,30996000000.0,30996000000.0,33487000000.0,30419000000.0,30419000000.0,30419000000.0,31059000000.0,32623000000.0,32623000000.0,32623000000.0,30476000000.0,31092000000.0,31092000000.0,31092000000.0,32623000000.0,32805000000.0,32805000000.0,32805000000.0,31092000000.0,31824000000.0,31824000000.0,31824000000.0,32805000000.0,34027000000.0,34027000000.0,34027000000.0,31824000000.0,35014000000.0,35014000000.0,35014000000.0,34027000000.0,38432000000.0,38432000000.0,38432000000.0,35014000000.0,38381000000.0,38381000000.0,38381000000.0
AssetsCurrent / USD,,5826000000.0,7844000000.0,7824000000.0,5826000000.0,7775000000.0,7900000000.0,8731000000.0,8731000000.0,8731000000.0,8731000000.0,8100000000.0,8100000000.0,8100000000.0,8100000000.0,6616000000.0,6616000000.0,6616000000.0,6616000000.0,6941000000.0,6941000000.0,6941000000.0,7033000000.0,8337000000.0,8337000000.0,8337000000.0,8337000000.0,7590000000.0,7590000000.0,7590000000.0,7590000000.0,8728000000.0,8728000000.0,8728000000.0,8728000000.0,9178000000.0,9178000000.0,9178000000.0,9178000000.0,7511000000.0,7511000000.0,7511000000.0,7511000000.0,8746000000.0,8746000000.0,8746000000.0,8746000000.0,11675000000.0,11675000000.0,11675000000.0,11675000000.0,11801000000.0,11801000000.0,11801000000.0
