fact_unit,2011-05-03,2011-08-02,2011-11-01,2012-02-27,2012-05-08,2012-08-07,2012-11-06,2013-02-22,2013-05-07,2013-08-06,2013-11-05,2014-02-21,2014-04-30,2014-07-31,2014-10-31,2015-02-24,2015-05-01,2015-08-04,2015-10-29,2016-02-10,2016-04-28,2016-08-09,2016-11-03,2017-02-16,2017-05-02,2017-07-27,2017-10-26,2018-02-02,2018-04-27,2018-07-31,2018-10-26,2019-01-31,2019-04-30,2019-07-26,2019-10-25,2020-01-31,2020-05-01,2020-07-31,2020-10-30,2021-01-29,2021-04-30,2021-07-30,2021-10-29,2022-01-28,2022-04-29,2022-07-29,2022-10-28,2023-01-27,2023-04-28,2023-07-28,2023-10-27,2024-02-02,2024-04-26,2024-07-26,2024-11-01,2025-01-31,2025-04-25,2025-07-25,2025-10-31
AccountsPayableAndAccruedLiabilitiesCurrent / USD,1049000000.0,1087000000.0,1049000000.0,,1153000000.0,1153000000.0,1153000000.0,1157000000.0,1224000000.0,1224000000.0,1224000000.0,1224000000.0,1467000000.0,1467000000.0,1467000000.0,1467000000.0,1635000000.0,1635000000.0,1635000000.0,1635000000.0,1972000000.0,1972000000.0,1972000000.0,1972000000.0,7544000000.0,7544000000.0,7544000000.0,7544000000.0,9045000000.0,9045000000.0,9045000000.0,9045000000.0,8805000000.0,8805000000.0,8805000000.0,8805000000.0,8885000000.0,8885000000.0,8885000000.0,8885000000.0,8867000000.0,8867000000.0,8867000000.0,8867000000.0,9461000000.0,9461000000.0,9461000000.0,9461000000.0,10555000000.0,10555000000.0,10555000000.0,10555000000.0,11214000000.0,11214000000.0,11214000000.0,11214000000.0,11687000000.0,11687000000.0,11687000000.0
AccountsPayableTradeCurrent / USD,,168000000.0,168000000.0,,142000000.0,142000000.0,142000000.0,80000000.0,107000000.0,107000000.0,107000000.0,107000000.0,91000000.0,91000000.0,91000000.0,91000000.0,140000000.0,140000000.0,140000000.0,140000000.0,134000000.0,134000000.0,134000000.0,134000000.0,454000000.0,454000000.0,454000000.0,454000000.0,740000000.0,740000000.0,740000000.0,740000000.0,758000000.0,758000000.0,758000000.0,758000000.0,786000000.0,786000000.0,786000000.0,786000000.0,763000000.0,763000000.0,763000000.0,763000000.0,724000000.0,724000000.0,724000000.0,724000000.0,952000000.0,952000000.0,952000000.0,952000000.0,931000000.0,931000000.0,931000000.0,931000000.0,880000000.0,880000000.0,880000000.0
AccountsReceivableNetCurrent / USD,247000000.0,243000000.0,247000000.0,,272000000.0,272000000.0,272000000.0,268000000.0,234000000.0,234000000.0,234000000.0,234000000.0,234000000.0,234000000.0,234000000.0,234000000.0,285000000.0,285000000.0,285000000.0,285000000.0,279000000.0,279000000.0,279000000.0,279000000.0,1432000000.0,1432000000.0,1432000000.0,1432000000.0,1635000000.0,1635000000.0,1635000000.0,1635000000.0,1733000000.0,1733000000.0,1733000000.0,1733000000.0,2227000000.0,2227000000.0,2227000000.0,2227000000.0,2539000000.0,2539000000.0,2539000000.0,2539000000.0,2579000000.0,2579000000.0,2579000000.0,2579000000.0,2921000000.0,2921000000.0,2921000000.0,2921000000.0,2965000000.0,2965000000.0,2965000000.0,2965000000.0,3097000000.0,3097000000.0,3097000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,,2364000000.0,2364000000.0,2364000000.0,3563000000.0,3563000000.0,3563000000.0,3563000000.0,4787000000.0,4787000000.0,4787000000.0,4787000000.0,5484000000.0,5484000000.0,5484000000.0,5484000000.0,6518000000.0,6518000000.0,6518000000.0,6518000000.0,11103000000.0,11103000000.0,11103000000.0,11103000000.0,18077000000.0,18077000000.0,18077000000.0,18077000000.0,23075000000.0,23075000000.0,23075000000.0,23075000000.0,27656000000.0,27656000000.0,27656000000.0,27656000000.0,31639000000.0,31639000000.0,31639000000.0,31639000000.0,34253000000.0,34253000000.0,34253000000.0,34253000000.0,36164000000.0,36164000000.0,36164000000.0,36164000000.0,37751000000.0,37751000000.0,37751000000.0,37751000000.0,39409000000.0,39409000000.0,39409000000.0
AdditionalPaidInCapitalCommonStock / USD,1776000000.0,1795000000.0,1776000000.0,,1556000000.0,1556000000.0,1556000000.0,1556000000.0,1616000000.0,1616000000.0,1616000000.0,1616000000.0,1760000000.0,1760000000.0,1760000000.0,1760000000.0,1930000000.0,1930000000.0,1930000000.0,1930000000.0,2028000000.0,2028000000.0,2028000000.0,2028000000.0,39413000000.0,39413000000.0,39413000000.0,39413000000.0,35253000000.0,35253000000.0,35253000000.0,35253000000.0,33507000000.0,33507000000.0,33507000000.0,33507000000.0,31405000000.0,31405000000.0,31405000000.0,31405000000.0,29000000000.0,29000000000.0,29000000000.0,29000000000.0,26725000000.0,26725000000.0,26725000000.0,26725000000.0,23940000000.0,23940000000.0,23940000000.0,23940000000.0,23346000000.0,23346000000.0,23346000000.0,23346000000.0,23337000000.0,23337000000.0,23337000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,,,,,,28000000.0,,,,36000000.0,,,,50000000.0,,,,48000000.0,,38000000.0,58000000.0,55000000.0,,,,78000000.0,,,,244000000.0,72000000.0,72000000.0,72000000.0,261000000.0,85000000.0,85000000.0,85000000.0,285000000.0,90000000.0,90000000.0,90000000.0,315000000.0,134000000.0,134000000.0,134000000.0,351000000.0,147000000.0,147000000.0,147000000.0,430000000.0,208000000.0,208000000.0,208000000.0,470000000.0,214000000.0,214000000.0,214000000.0
AllocatedShareBasedCompensationExpense / USD,,10000000.0,17000000.0,,7000000.0,16000000.0,26000000.0,26000000.0,11000000.0,24000000.0,37000000.0,36000000.0,11000000.0,26000000.0,37000000.0,50000000.0,12000000.0,27000000.0,41000000.0,48000000.0,19000000.0,38000000.0,58000000.0,55000000.0,69000000.0,87000000.0,168000000.0,78000000.0,69000000.0,134000000.0,198000000.0,244000000.0,72000000.0,142000000.0,213000000.0,261000000.0,85000000.0,167000000.0,238000000.0,285000000.0,90000000.0,180000000.0,263000000.0,315000000.0,134000000.0,234000000.0,332000000.0,351000000.0,147000000.0,251000000.0,360000000.0,430000000.0,208000000.0,376000000.0,540000000.0,470000000.0,214000000.0,367000000.0,513000000.0
AllowanceForDoubtfulAccountsReceivableCurrent / USD,17000000.0,17000000.0,17000000.0,,,16000000.0,16000000.0,16000000.0,14000000.0,14000000.0,14000000.0,14000000.0,19000000.0,19000000.0,19000000.0,19000000.0,22000000.0,22000000.0,22000000.0,22000000.0,21000000.0,21000000.0,21000000.0,21000000.0,124000000.0,124000000.0,124000000.0,124000000.0,113000000.0,113000000.0,113000000.0,113000000.0,129000000.0,129000000.0,129000000.0,129000000.0,151000000.0,151000000.0,151000000.0,151000000.0,217000000.0,217000000.0,217000000.0,217000000.0,157000000.0,157000000.0,157000000.0,180000000.0,219000000.0,219000000.0,219000000.0,217000000.0,268000000.0,268000000.0,268000000.0,157000000.0,204000000.0,204000000.0,204000000.0
AmortizationOfDebtDiscountPremium / USD,,,,,,,,,,,,,,,,,,,,,,15000000.0,21000000.0,37000000.0,7000000.0,-41000000.0,-148000000.0,28000000.0,-108000000.0,-196000000.0,-283000000.0,-256000000.0,-89000000.0,-177000000.0,-242000000.0,-370000000.0,-55000000.0,-72000000.0,-89000000.0,-307000000.0,-12000000.0,-21000000.0,-31000000.0,-106000000.0,-7000000.0,-15000000.0,-20000000.0,-41000000.0,-3000000.0,-7000000.0,-12000000.0,-23000000.0,-3000000.0,4000000.0,13000000.0,-17000000.0,8000000.0,16000000.0,25000000.0
AmortizationOfIntangibleAssets / USD,,,,,,159000000.0,238000000.0,337000000.0,74000000.0,148000000.0,222000000.0,315000000.0,68000000.0,137000000.0,219000000.0,293000000.0,76000000.0,152000000.0,227000000.0,299000000.0,69000000.0,138000000.0,205000000.0,299000000.0,60000000.0,464000000.0,1200000000.0,271000000.0,726000000.0,1400000000.0,2100000000.0,1900000000.0,645000000.0,1300000000.0,1800000000.0,2700000000.0,578000000.0,1100000000.0,1600000000.0,2400000000.0,508000000.0,986000000.0,1400000000.0,2200000000.0,,,,1900000000.0,,,,1600000000.0,,,,1300000000.0,,,
