fact_unit,2014-04-30,2014-07-30,2014-10-30,2015-02-27,2015-04-30,2015-07-30,2015-10-29,2016-02-26,2016-04-28,2016-07-28,2016-10-27,2017-02-17,2017-04-27,2017-07-27,2017-10-26,2018-02-20,2018-04-26,2018-07-26,2018-10-25,2019-02-19,2019-04-25,2019-07-25,2019-10-24,2020-02-18,2020-04-23,2020-07-23,2020-10-22,2021-02-16,2021-04-22,2021-07-22,2021-10-21,2022-02-15,2022-04-26,2022-07-28,2022-10-27,2023-02-22,2023-04-26,2023-07-26,2023-10-31,2024-02-20,2024-04-25,2024-07-24,2024-10-24,2025-02-18,2025-04-24,2025-07-24,2025-10-23
AccountsNotesAndLoansReceivableNetCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,329800000.0,,,,321800000.0,,,,283300000.0,,,,395600000.0,,,,412800000.0,,,
AccountsPayableCurrent / USD,211300000.0,211300000.0,211300000.0,211300000.0,249500000.0,249500000.0,175600000.0,175600000.0,175100000.0,175100000.0,175100000.0,175100000.0,179900000.0,179900000.0,179900000.0,179900000.0,188300000.0,188300000.0,188300000.0,188300000.0,235000000.0,235000000.0,235000000.0,235000000.0,221000000.0,221000000.0,221000000.0,221000000.0,220400000.0,220400000.0,220400000.0,220400000.0,259100000.0,259100000.0,259100000.0,259100000.0,280700000.0,280700000.0,280700000.0,280700000.0,259200000.0,259200000.0,259200000.0,259200000.0,258000000.0,258000000.0,258000000.0
AccrualForEnvironmentalLossContingencies / USD,10800000.0,10800000.0,10800000.0,10800000.0,8800000.0,8800000.0,8800000.0,8800000.0,15200000.0,15200000.0,15200000.0,15200000.0,30600000.0,30600000.0,30600000.0,30600000.0,28900000.0,28900000.0,28900000.0,28900000.0,22600000.0,22600000.0,22600000.0,22600000.0,19300000.0,19300000.0,19300000.0,19300000.0,21100000.0,21100000.0,21100000.0,21100000.0,16400000.0,16400000.0,16400000.0,16400000.0,24100000.0,24100000.0,24100000.0,24100000.0,20200000.0,20200000.0,20200000.0,20200000.0,17800000.0,17800000.0,17800000.0
AccruedEnvironmentalLossContingenciesCurrent / USD,4200000.0,4200000.0,4200000.0,4200000.0,2200000.0,2200000.0,2200000.0,2200000.0,3700000.0,3700000.0,3700000.0,3700000.0,6100000.0,6100000.0,6100000.0,6100000.0,12600000.0,12600000.0,12600000.0,12600000.0,5600000.0,5600000.0,5600000.0,5600000.0,6200000.0,6200000.0,6200000.0,6200000.0,6100000.0,6100000.0,6100000.0,6100000.0,3700000.0,3700000.0,3700000.0,3700000.0,3900000.0,3900000.0,3900000.0,3900000.0,3600000.0,3600000.0,3600000.0,3600000.0,2400000.0,2400000.0,2400000.0
AccruedLiabilitiesCurrent / USD,207300000.0,207300000.0,207300000.0,111500000.0,232200000.0,232200000.0,203800000.0,98800000.0,206400000.0,206400000.0,206400000.0,124900000.0,201500000.0,201500000.0,201500000.0,117800000.0,237500000.0,237500000.0,237500000.0,134600000.0,250500000.0,250500000.0,250500000.0,135000000.0,285900000.0,285900000.0,285900000.0,174700000.0,293700000.0,293700000.0,293700000.0,189400000.0,329500000.0,329500000.0,329500000.0,199900000.0,410300000.0,410300000.0,410300000.0,247900000.0,407900000.0,407900000.0,407900000.0,258200000.0,417000000.0,417000000.0,417000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,366200000.0,,,,372600000.0,,,,391700000.0,,,,413800000.0,,,,455700000.0,,,,472100000.0,,,,494600000.0,,,,535200000.0,,,,544000000.0,,,,566900000.0,,,,603300000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-7700000.0,-7700000.0,-7700000.0,-29100000.0,-96700000.0,-96700000.0,-96700000.0,-7700000.0,-148200000.0,-148200000.0,-148200000.0,-96700000.0,-232200000.0,-232200000.0,-232200000.0,-148200000.0,-152900000.0,-152900000.0,-152900000.0,-232200000.0,-223500000.0,-152900000.0,-152900000.0,-264300000.0,-223500000.0,-223500000.0,-223500000.0,-152900000.0,-218600000.0,-218600000.0,-218600000.0,-223500000.0,-157100000.0,-157100000.0,-157100000.0,-218600000.0,-194400000.0,-194400000.0,-194400000.0,-157100000.0,-285800000.0,-285800000.0,-285800000.0,-194400000.0,-261500000.0,-261500000.0,-261500000.0
AdditionalPaidInCapitalCommonStock / USD,,,,,,,,,,,,,,,,,9100000.0,9100000.0,9100000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13900000.0,13900000.0,13900000.0,13900000.0,,0.0,,0.0,,,0.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,3400000.0,6500000.0,9700000.0,5500000.0,3400000.0,6500000.0,9700000.0,5500000.0,3600000.0,6900000.0,10300000.0,13100000.0,4600000.0,8800000.0,,14600000.0,5000000.0,9000000.0,12800000.0,16600000.0,6000000.0,6000000.0,6000000.0,15800000.0,7100000.0,7100000.0,7100000.0,22400000.0,12200000.0,12200000.0,12200000.0,26500000.0,4400000.0,4400000.0,4400000.0,24800000.0,7500000.0,7500000.0,7500000.0,25800000.0,5700000.0,5700000.0,5700000.0,21400000.0,14800000.0,14800000.0,14800000.0
AllocatedShareBasedCompensationExpense / USD,1800000.0,3900000.0,5600000.0,6300000.0,3500000.0,7000000.0,10200000.0,8400000.0,4000000.0,7400000.0,10200000.0,14000000.0,4800000.0,9200000.0,14200000.0,14800000.0,6100000.0,10700000.0,15100000.0,17400000.0,6600000.0,12100000.0,17400000.0,18900000.0,10100000.0,14800000.0,18400000.0,18800000.0,7400000.0,11200000.0,17200000.0,23600000.0,10100000.0,16400000.0,19500000.0,23200000.0,11800000.0,15900000.0,20000000.0,23400000.0,8800000.0,14400000.0,20300000.0,24500000.0,9600000.0,16100000.0,22100000.0
