fact_unit,2010-08-06,2010-11-08,2011-03-24,2011-05-10,2011-08-09,2011-11-03,2012-02-17,2012-05-10,2012-08-06,2012-11-07,2012-11-08,2013-02-26,2013-05-07,2013-08-06,2013-11-05,2014-02-21,2014-05-08,2014-08-01,2014-11-04,2015-02-20,2015-05-08,2015-08-04,2015-10-30,2016-02-18,2016-05-05,2016-08-02,2016-11-02,2017-02-22,2017-05-05,2017-07-28,2017-11-07,2018-02-28,2018-05-04,2018-08-02,2018-10-30,2019-02-25,2019-04-30,2019-08-01,2019-10-30,2020-02-14,2020-05-07,2020-08-06,2020-10-29,2021-02-10,2021-04-29,2021-07-30,2021-11-05,2022-02-16,2022-05-10,2022-08-09,2022-11-08,2023-02-21,2023-05-03,2023-08-01,2023-10-31,2024-02-15,2024-04-30,2024-07-30,2024-10-29,2025-02-12,2025-04-29,2025-07-29,2025-10-28
AccountsAndNotesReceivableNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612782000.0,607236000.0,607236000.0,607236000.0,607236000.0,683641000.0,683641000.0,683641000.0,683641000.0,1292308000.0,1292308000.0,1292308000.0,1292308000.0,1180012000.0,1180012000.0,1180012000.0,1180012000.0,1691706000.0,1691706000.0,1691706000.0,1691706000.0,2027586000.0,2027586000.0,2027586000.0
AccountsPayableCurrentAndNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58646000.0,,,,101592000.0,,,,174798000.0,,,,216732000.0,,,,173215000.0,,,
AccountsReceivableGross / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282443000.0,362850000.0,362850000.0,362850000.0,362850000.0,455508000.0,455508000.0,455508000.0,455508000.0,375060000.0,375060000.0,375060000.0,375060000.0,441231000.0,441231000.0,441231000.0,441231000.0,503993000.0,503993000.0,503993000.0,503993000.0,230508000.0,230508000.0,230508000.0
AccountsReceivableNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282443000.0,336854000.0,336854000.0,336854000.0,336854000.0,240269000.0,240269000.0,240269000.0,240269000.0,223627000.0,223627000.0,223627000.0,223627000.0,289168000.0,289168000.0,289168000.0,289168000.0,330119000.0,330119000.0,330119000.0,330119000.0,222542000.0,222542000.0,222542000.0
AccruedLiabilitiesAndOtherLiabilities / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1009482000.0,,,,1041594000.0,,,,1235554000.0,,,,1535325000.0,1521660000.0,1521660000.0,1521660000.0,1521660000.0,1713366000.0,1713366000.0,1713366000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-2891000.0,-2891000.0,-2891000.0,-2891000.0,-2891000.0,-11099000.0,-11099000.0,-11099000.0,-11099000.0,-11099000.0,-11928000.0,-11928000.0,-11928000.0,-11928000.0,-11928000.0,-11928000.0,-11028000.0,-11028000.0,-11028000.0,-11028000.0,-24531000.0,-24531000.0,-24531000.0,-24531000.0,-77009000.0,-77009000.0,-77009000.0,-77009000.0,-88243000.0,-88243000.0,-88243000.0,-88243000.0,-169531000.0,-111465000.0,-111465000.0,-111465000.0,-129769000.0,-129769000.0,-129769000.0,-129769000.0,-112157000.0,-112157000.0,-112157000.0,-112157000.0,-148504000.0,-148504000.0,-148504000.0,-148504000.0,-121316000.0,-121316000.0,-121316000.0,-121316000.0,-119707000.0,-119707000.0,-119707000.0,-119707000.0,-163160000.0,-163160000.0,-163160000.0,-163160000.0,-359781000.0,-359781000.0,-359781000.0
AdditionalPaidInCapital / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,16478300000.0,16478300000.0,16999691000.0,16999691000.0,16999691000.0,16999691000.0,17662681000.0,17662681000.0,17662681000.0,17662681000.0,18424368000.0,18424368000.0,18424368000.0,18424368000.0,20190107000.0,20190107000.0,20190107000.0,20190119000.0,20823145000.0,20823145000.0,20823145000.0,20823145000.0,23133641000.0,23133641000.0,23133641000.0,23133641000.0,26742750000.0,26742750000.0,26742750000.0,26742750000.0,32741949000.0,32741949000.0,32741949000.0,32741949000.0,40016503000.0,40016503000.0,40016503000.0
AdjustmentForAmortization / USD,7254000.0,10999000.0,14837000.0,14837000.0,14837000.0,13178000.0,15412000.0,15412000.0,15412000.0,15412000.0,12024000.0,17169000.0,17169000.0,17169000.0,17169000.0,16851000.0,4194000.0,6543000.0,6662000.0,15185000.0,1672000.0,3065000.0,5626000.0,8097000.0,1320000.0,2458000.0,3867000.0,6971000.0,1118000.0,3141000.0,5419000.0,4991000.0,3361000.0,7789000.0,12095000.0,8822000.0,4171000.0,7984000.0,12110000.0,,5878000.0,9761000.0,13474000.0,17000000.0,3220000.0,6947000.0,9613000.0,16827000.0,4197000.0,8854000.0,13951000.0,13213000.0,5592000.0,11433000.0,20643000.0,19148000.0,9792000.0,20086000.0,31002000.0,28234000.0,13105000.0,28106000.0,43165000.0
AllocatedShareBasedCompensationExpense / USD,,,,,,,,,9633000.0,9633000.0,,,,,,,,,,18521000.0,,,,20177000.0,,,,32075000.0,,,,30844000.0,,,,28869000.0,,,6075000.0,19102000.0,7529000.0,15192000.0,20501000.0,27646000.0,7083000.0,14373000.0,20938000.0,25047000.0,5576000.0,10333000.0,14868000.0,28318000.0,7445000.0,13466000.0,19456000.0,17812000.0,9456000.0,19960000.0,28781000.0,26149000.0,12048000.0,22398000.0,62308000.0
AllowanceForDoubtfulAccountsReceivable / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,25996000.0,25996000.0,25996000.0,25996000.0,215239000.0,215239000.0,215239000.0,215239000.0,151433000.0,151433000.0,151433000.0,151433000.0,152063000.0,152063000.0,152063000.0,152063000.0,173874000.0,173874000.0,173874000.0,173874000.0,7966000.0,7966000.0,7966000.0
AmortizationOfAboveAndBelowMarketLeases / USD,,,,,,,,,,,-1588000.0,-2856000.0,-2856000.0,-2856000.0,-2856000.0,-2507000.0,172000.0,245000.0,313000.0,165000.0,266000.0,365000.0,503000.0,460000.0,113000.0,870000.0,2863000.0,739000.0,230000.0,332000.0,362000.0,4018000.0,8000.0,48000.0,180000.0,322000.0,718000.0,1363000.0,1984000.0,357000.0,114000.0,-2000.0,-335000.0,2608000.0,-565000.0,-1008000.0,-1373000.0,-676000.0,-460000.0,-926000.0,-2045000.0,-1870000.0,-419000.0,-803000.0,-1199000.0,-3536000.0,-82000.0,-248000.0,-436000.0,-1693000.0,-5000.0,14000.0,166000.0
AssetImpairmentCharges / USD,,,,,,,25223000.0,25223000.0,,,,,,,,,,,,,2220000.0,0.0,0.0,0.0,2220000.0,2220000.0,2220000.0,0.0,14314000.0,14314000.0,24019000.0,2220000.0,11031000.0,24662000.0,24662000.0,37207000.0,28185000.0,32817000.0,39557000.0,124483000.0,0.0,9939000.0,28035000.0,115579000.0,27827000.0,102978000.0,126291000.0,28133000.0,23568000.0,47260000.0,48750000.0,135608000.0,0.0,0.0,4356000.0,51107000.0,12629000.0,13715000.0,21103000.0,17502000.0,43331000.0,45725000.0,69146000.0
