fact_unit,2019-07-19,2019-09-06,2019-12-06,2020-03-23,2020-06-03,2020-09-03,2020-12-03,2021-03-18,2021-06-04,2021-09-01,2021-12-02,2022-03-16,2022-06-03,2022-08-31,2022-11-30,2023-03-09,2023-06-01,2023-08-31,2023-11-29,2024-03-07,2024-06-05,2024-08-29,2024-11-27,2025-03-10,2025-06-04,2025-08-28,2025-12-03
AccountsPayableCurrent / USD,6855000.0,6855000.0,6855000.0,6855000.0,1345000.0,1345000.0,1345000.0,1345000.0,12065000.0,12065000.0,12065000.0,12065000.0,47634000.0,47634000.0,47634000.0,47634000.0,45372000.0,45372000.0,45372000.0,45372000.0,28180000.0,28180000.0,28180000.0,28180000.0,130887000.0,130887000.0,130887000.0
AccountsReceivableNetCurrent / USD,92476000.0,92476000.0,92476000.0,92476000.0,164987000.0,164987000.0,164987000.0,164987000.0,239199000.0,239199000.0,239199000.0,239199000.0,368145000.0,368145000.0,368145000.0,368145000.0,626181000.0,626181000.0,626181000.0,626181000.0,853105000.0,853105000.0,853105000.0,853105000.0,1128564000.0,1128564000.0,1128564000.0
AccretionAmortizationOfDiscountsAndPremiumsInvestments / USD,7000.0,169000.0,625000.0,0.0,513000.0,960000.0,1313000.0,1152000.0,-578000.0,-578000.0,-578000.0,1247000.0,,,,-578000.0,,,0.0,0.0,0.0,0.0,1934000.0,0.0,-2285000.0,-2285000.0,-2285000.0
AccruedBonusesCurrent / USD,5459000.0,5459000.0,5459000.0,5459000.0,8171000.0,8171000.0,8171000.0,8171000.0,12110000.0,12110000.0,16528000.0,12110000.0,17591000.0,17591000.0,17591000.0,17591000.0,34098000.0,34098000.0,34098000.0,34098000.0,36860000.0,36860000.0,36860000.0,36860000.0,42510000.0,,
AccruedLiabilitiesCurrent / USD,32541000.0,32541000.0,32541000.0,32541000.0,30355000.0,30355000.0,30355000.0,30355000.0,51117000.0,51117000.0,51117000.0,51117000.0,83382000.0,83382000.0,83382000.0,83382000.0,137884000.0,137884000.0,137884000.0,137884000.0,125896000.0,125896000.0,125896000.0,125896000.0,191349000.0,191349000.0,191349000.0
AccruedMarketingCostsCurrent / USD,,,,,1970000.0,1970000.0,1970000.0,1970000.0,14592000.0,14592000.0,14592000.0,14592000.0,9801000.0,9801000.0,9801000.0,9801000.0,11435000.0,11435000.0,11435000.0,11435000.0,14623000.0,14623000.0,14623000.0,,,,
AccruedProfessionalFeesCurrent / USD,,,,,,,,,,,,,,,10664000.0,10664000.0,13281000.0,13281000.0,13281000.0,13281000.0,11867000.0,11867000.0,11867000.0,,,,
AccruedSalariesCurrent / USD,4326000.0,4326000.0,4326000.0,4326000.0,6680000.0,6680000.0,6680000.0,6680000.0,16528000.0,16528000.0,32300000.0,16528000.0,24910000.0,24910000.0,24910000.0,24910000.0,39907000.0,39907000.0,39907000.0,39907000.0,58579000.0,58579000.0,58579000.0,58579000.0,69197000.0,,
AccruedSalesCommissionCurrent / USD,9499000.0,9499000.0,9499000.0,9499000.0,15399000.0,15399000.0,15399000.0,15399000.0,32300000.0,32300000.0,10969000.0,32300000.0,47298000.0,47298000.0,47298000.0,47298000.0,77287000.0,77287000.0,77287000.0,77287000.0,116870000.0,116870000.0,116870000.0,116870000.0,174322000.0,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,26688000.0,26688000.0,26688000.0,26688000.0,49664000.0,49664000.0,49664000.0,49664000.0,88534000.0,88534000.0,88534000.0,88534000.0,141778000.0,141778000.0,141778000.0,141778000.0,216279000.0,216279000.0,216279000.0,216279000.0,338266000.0,338266000.0,338266000.0,338266000.0,521754000.0,521754000.0,521754000.0
