fact_unit,2009-08-07,2009-11-06,2010-02-26,2010-05-06,2010-08-05,2010-11-04,2011-02-25,2011-05-05,2011-08-04,2011-10-31,2012-02-28,2012-05-03,2012-08-02,2012-10-30,2013-02-26,2013-05-02,2013-08-01,2013-10-31,2014-02-28,2014-05-08,2014-08-07,2014-10-30,2015-02-27,2015-05-07,2015-08-06,2015-11-02,2016-02-26,2016-05-05,2016-08-04,2016-11-03,2017-02-24,2017-05-04,2017-08-03,2017-11-02,2018-02-23,2018-05-03,2018-08-02,2018-11-01,2019-03-01,2019-05-02,2019-08-01,2019-10-31,2020-02-28,2020-05-07,2020-08-06,2020-09-25,2020-10-30,2021-02-26,2021-05-06,2021-08-05,2021-10-29,2022-02-25,2022-05-05,2022-08-04,2022-11-04,2023-02-24,2023-05-04,2023-08-03,2023-11-02,2024-02-23,2024-05-02,2024-08-02,2024-10-31,2025-02-21,2025-05-08,2025-08-07,2025-10-30
AccountsPayableCurrent / USD,359600000.0,359600000.0,359600000.0,360900000.0,360900000.0,360900000.0,360900000.0,349300000.0,349300000.0,349300000.0,349300000.0,815700000.0,815700000.0,815700000.0,815700000.0,879700000.0,879700000.0,879700000.0,879700000.0,1021900000.0,1021900000.0,1021900000.0,1021900000.0,1162400000.0,1162400000.0,1162400000.0,1162400000.0,1049600000.0,1049600000.0,1049600000.0,1049600000.0,983200000.0,983200000.0,983200000.0,983200000.0,1177100000.0,1177100000.0,1177100000.0,1177100000.0,1255600000.0,1255600000.0,1255600000.0,1255600000.0,1284300000.0,1075300000.0,1050400000.0,1075300000.0,1075300000.0,1160600000.0,1160600000.0,1160600000.0,1160600000.0,1384200000.0,1384200000.0,1384200000.0,1384200000.0,1728200000.0,1728200000.0,1728200000.0,1728200000.0,1566300000.0,1566300000.0,1566300000.0,1566300000.0,1810000000.0,1810000000.0,1810000000.0
AccountsReceivableGross / USD,,,,,1068500000.0,1068500000.0,1068500000.0,1044500000.0,1044500000.0,1044500000.0,1044500000.0,2144600000.0,2144600000.0,2144600000.0,2144600000.0,2298300000.0,2298300000.0,2298300000.0,2298300000.0,2648900000.0,2648900000.0,2648900000.0,2648900000.0,2704200000.0,2704200000.0,2704200000.0,2704200000.0,2465500000.0,2465500000.0,2465500000.0,2465500000.0,2408800000.0,2408800000.0,2408800000.0,2408800000.0,2642900000.0,2642900000.0,2642900000.0,2642900000.0,2723100000.0,2723100000.0,2723100000.0,2723100000.0,2858500000.0,2437500000.0,2262600000.0,2437500000.0,2437500000.0,2358100000.0,2358100000.0,2358100000.0,2358100000.0,2549900000.0,2549900000.0,2549900000.0,2549900000.0,2829000000.0,2829000000.0,2829000000.0,2829000000.0,2983200000.0,2983200000.0,2983200000.0,2983200000.0,2987500000.0,2987500000.0,2987500000.0
AccountsReceivableNetCurrent / USD,971000000.0,971000000.0,971000000.0,1016100000.0,1016100000.0,1016100000.0,1016100000.0,999600000.0,999600000.0,999600000.0,999600000.0,2095300000.0,2095300000.0,2095300000.0,2095300000.0,2225100000.0,2225100000.0,2225100000.0,2225100000.0,2568000000.0,2568000000.0,2568000000.0,2568000000.0,2626700000.0,2626700000.0,2626700000.0,2626700000.0,2390200000.0,2390200000.0,2390200000.0,2390200000.0,2341200000.0,2341200000.0,2341200000.0,2341200000.0,2571400000.0,2571400000.0,2571400000.0,2571400000.0,2662500000.0,2662500000.0,2662500000.0,2662500000.0,2796500000.0,2382000000.0,2210200000.0,2382000000.0,2382000000.0,2273800000.0,2273800000.0,2273800000.0,2273800000.0,2478400000.0,2478400000.0,2478400000.0,2478400000.0,2698100000.0,2698100000.0,2698100000.0,2698100000.0,2834200000.0,2834200000.0,2834200000.0,2834200000.0,2865000000.0,2865000000.0,2865000000.0
AccruedIncomeTaxesCurrent / USD,46300000.0,46300000.0,46300000.0,21800000.0,21800000.0,21800000.0,21800000.0,36700000.0,36700000.0,36700000.0,36700000.0,81700000.0,81700000.0,81700000.0,81700000.0,77400000.0,77400000.0,77400000.0,77400000.0,80900000.0,80900000.0,80900000.0,80900000.0,88600000.0,88600000.0,88600000.0,88600000.0,52200000.0,52200000.0,52200000.0,52200000.0,87400000.0,87400000.0,87400000.0,87400000.0,183600000.0,183600000.0,183600000.0,183600000.0,100600000.0,100600000.0,100600000.0,100600000.0,142800000.0,136900000.0,96700000.0,136900000.0,136900000.0,96100000.0,96100000.0,96100000.0,96100000.0,104300000.0,104300000.0,104300000.0,104300000.0,197600000.0,197600000.0,197600000.0,197600000.0,158700000.0,158700000.0,158700000.0,158700000.0,127000000.0,127000000.0,127000000.0
AccruedMarketingCostsCurrent / USD,,,,,,,,,,,220700000.0,239900000.0,239900000.0,239900000.0,239900000.0,244400000.0,244400000.0,244400000.0,244400000.0,263200000.0,263200000.0,263200000.0,263200000.0,255400000.0,255400000.0,255400000.0,255400000.0,270500000.0,270500000.0,270500000.0,270500000.0,275200000.0,275200000.0,275200000.0,275200000.0,267200000.0,267200000.0,267200000.0,267200000.0,291300000.0,291300000.0,291300000.0,291300000.0,331400000.0,331400000.0,291300000.0,331400000.0,331400000.0,304100000.0,304100000.0,304100000.0,304100000.0,341100000.0,341100000.0,341100000.0,341100000.0,357800000.0,357800000.0,357800000.0,357800000.0,438800000.0,438800000.0,438800000.0,438800000.0,452200000.0,452200000.0,452200000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,1690300000.0,1690300000.0,1690300000.0,1724300000.0,1724300000.0,1724300000.0,1724300000.0,1881700000.0,1881700000.0,1881700000.0,1881700000.0,2079000000.0,2079000000.0,2079000000.0,2079000000.0,2270600000.0,2270600000.0,2270600000.0,2270600000.0,2490800000.0,2490800000.0,2490800000.0,2490800000.0,2727200000.0,2727200000.0,2727200000.0,2727200000.0,3077600000.0,3077600000.0,3077600000.0,3077600000.0,3429200000.0,3429200000.0,3429200000.0,3429200000.0,3603500000.0,3603500000.0,3603500000.0,3603500000.0,4065300000.0,3439200000.0,3040200000.0,3439200000.0,3439200000.0,3656500000.0,3656500000.0,3656500000.0,3656500000.0,3891300000.0,3891300000.0,3891300000.0,3891300000.0,3962500000.0,3962500000.0,3962500000.0,3962500000.0,4180200000.0,4180200000.0,4180200000.0,4180200000.0,4435800000.0,4435800000.0,4435800000.0
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax / USD,,,,,426100000.0,426100000.0,426100000.0,387400000.0,387400000.0,387400000.0,387400000.0,481300000.0,481300000.0,481300000.0,481300000.0,613800000.0,613800000.0,613800000.0,613800000.0,235000000.0,235000000.0,235000000.0,235000000.0,552500000.0,552500000.0,552500000.0,552500000.0,486900000.0,486900000.0,486900000.0,486900000.0,511400000.0,511400000.0,511400000.0,511400000.0,555800000.0,555800000.0,555800000.0,555800000.0,518900000.0,518900000.0,518900000.0,518900000.0,823800000.0,823800000.0,518900000.0,823800000.0,823800000.0,935200000.0,935200000.0,935200000.0,935200000.0,632800000.0,632800000.0,632800000.0,632800000.0,467400000.0,467400000.0,467400000.0,467400000.0,534700000.0,534700000.0,534700000.0,534700000.0,538400000.0,538400000.0,538400000.0
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax / USD,,,,,196900000.0,196900000.0,196900000.0,118800000.0,118800000.0,118800000.0,118800000.0,149900000.0,149900000.0,149900000.0,149900000.0,167700000.0,167700000.0,167700000.0,167700000.0,-63600000.0,-63600000.0,-63600000.0,-63600000.0,-396700000.0,-396700000.0,-396700000.0,-396700000.0,-945400000.0,-945400000.0,-945400000.0,-945400000.0,-1193000000.0,-1193000000.0,-1193000000.0,-1193000000.0,-1061200000.0,-1061200000.0,-1061200000.0,-1061200000.0,-1244800000.0,-1244800000.0,-1244800000.0,-1244800000.0,-1261800000.0,-1261800000.0,-1244800000.0,-1261800000.0,-1261800000.0,-1038100000.0,-1038100000.0,-1038100000.0,-1038100000.0,-1006900000.0,-1006900000.0,-1006900000.0,-1006900000.0,-1262900000.0,-1262900000.0,-1262900000.0,-1262900000.0,-1311600000.0,-1311600000.0,-1311600000.0,-1311600000.0,-1448200000.0,-1448200000.0,-1448200000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-359100000.0,-359100000.0,-359100000.0,-232900000.0,-232900000.0,-232900000.0,-232900000.0,-271900000.0,-271900000.0,-271900000.0,-271900000.0,-344900000.0,-344900000.0,-344900000.0,-344900000.0,-459700000.0,-459700000.0,-459700000.0,-459700000.0,-305200000.0,-305200000.0,-305200000.0,-305200000.0,-951900000.0,-951900000.0,-951900000.0,-951900000.0,-1423300000.0,-1423300000.0,-1423300000.0,-1423300000.0,-1712900000.0,-1712900000.0,-1712900000.0,-1712900000.0,-1643400000.0,-1643400000.0,-1643400000.0,-1643400000.0,-1761700000.0,-1761700000.0,-1761700000.0,-1761700000.0,-2089700000.0,-2089700000.0,-1761700000.0,-2089700000.0,-2089700000.0,-1994400000.0,-1994400000.0,-1994400000.0,-1994400000.0,-1634800000.0,-1634800000.0,-1634800000.0,-1634800000.0,-1726600000.0,-1726600000.0,-1726600000.0,-1726600000.0,-1850400000.0,-1850400000.0,-1850400000.0,-1850400000.0,-1982000000.0,-1982000000.0,-1982000000.0
AdditionalPaidInCapitalCommonStock / USD,,,1090500000.0,1179300000.0,1179300000.0,1179300000.0,1179300000.0,1310200000.0,1310200000.0,1310200000.0,1310200000.0,3980800000.0,3980800000.0,3980800000.0,3980800000.0,4249100000.0,4249100000.0,4249100000.0,4249100000.0,4692000000.0,4692000000.0,4692000000.0,4692000000.0,4874500000.0,4874500000.0,4874500000.0,4874500000.0,5086100000.0,5086100000.0,5086100000.0,5086100000.0,5270800000.0,5270800000.0,5270800000.0,5270800000.0,5435700000.0,5435700000.0,5435700000.0,5435700000.0,5633200000.0,5633200000.0,5633200000.0,5633200000.0,5907100000.0,5907100000.0,5633200000.0,5907100000.0,5907100000.0,6235000000.0,6235000000.0,6235000000.0,6235000000.0,6464600000.0,6464600000.0,6464600000.0,6464600000.0,6580200000.0,6580200000.0,6580200000.0,6580200000.0,6766700000.0,6766700000.0,6766700000.0,6766700000.0,7159600000.0,7159600000.0,7159600000.0
