fact_unit,2009-08-28,2009-10-29,2010-02-24,2010-04-28,2010-08-20,2010-11-01,2011-03-07,2011-05-04,2011-08-02,2011-10-31,2012-02-24,2012-04-27,2012-08-02,2012-10-30,2013-02-26,2013-05-01,2013-07-30,2013-10-28,2014-02-25,2014-04-29,2014-07-29,2014-11-10,2015-02-26,2015-05-04,2015-07-30,2015-10-30,2016-02-29,2016-03-01,2016-05-06,2016-07-29,2016-10-28,2017-02-27,2017-04-28,2017-08-02,2017-11-02,2018-02-27,2018-05-01,2018-07-27,2018-10-30,2019-02-28,2019-05-03,2019-08-08,2019-10-31,2020-02-28,2020-03-05,2020-05-08,2020-07-31,2020-10-29,2021-02-25,2021-05-04,2021-08-05,2021-11-02,2022-02-25,2022-04-29,2022-08-01,2022-11-01,2023-02-28,2023-05-04,2023-08-04,2023-10-30,2024-02-26,2024-04-30,2024-08-02,2024-10-29,2025-02-25,2025-04-29,2025-08-01,2025-10-31
AcceleratedShareRepurchasesSettlementPaymentOrReceipt / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000000.0,1000000000.0,,,,1000000000.0,,,
AccountsPayableCurrent / USD,159700000.0,159700000.0,159700000.0,183100000.0,183100000.0,183100000.0,183100000.0,257800000.0,257800000.0,257800000.0,257800000.0,257800000.0,257800000.0,257800000.0,257800000.0,236900000.0,236900000.0,236900000.0,236900000.0,304500000.0,304500000.0,304500000.0,304500000.0,282300000.0,282300000.0,282300000.0,282300000.0,282300000.0,497400000.0,497400000.0,497400000.0,497400000.0,508400000.0,508400000.0,508400000.0,508400000.0,576300000.0,573900000.0,573900000.0,573900000.0,634600000.0,634600000.0,634600000.0,634600000.0,,632300000.0,632300000.0,632300000.0,632300000.0,638900000.0,638900000.0,638900000.0,638900000.0,621300000.0,621300000.0,621300000.0,621300000.0,934800000.0,852200000.0,852200000.0,852200000.0,827500000.0,827500000.0,827500000.0,827500000.0,875800000.0,875800000.0,875800000.0
AccountsReceivableNetCurrent / USD,631600000.0,631600000.0,631600000.0,574200000.0,574200000.0,574200000.0,574200000.0,655600000.0,655600000.0,655600000.0,655600000.0,699800000.0,699800000.0,699800000.0,699800000.0,718500000.0,718500000.0,718500000.0,718500000.0,784700000.0,784700000.0,784700000.0,784700000.0,815700000.0,815700000.0,815700000.0,815700000.0,815700000.0,1217900000.0,1217900000.0,1217900000.0,1217900000.0,1328700000.0,1328700000.0,1328700000.0,1328700000.0,1555400000.0,1531000000.0,1531000000.0,1531000000.0,1467900000.0,1467900000.0,1467900000.0,1467900000.0,,1543900000.0,1543900000.0,1543900000.0,1543900000.0,2479800000.0,2479800000.0,2479800000.0,2479800000.0,2261500000.0,2261500000.0,2261500000.0,2261500000.0,2222000000.0,1785500000.0,1785500000.0,1785500000.0,1913300000.0,1913300000.0,1913300000.0,1913300000.0,1944100000.0,1944100000.0,1944100000.0
AccruedLiabilitiesCurrent / USD,266400000.0,266400000.0,266400000.0,275700000.0,275700000.0,275700000.0,275700000.0,352900000.0,352900000.0,352900000.0,352900000.0,404100000.0,404100000.0,404100000.0,339300000.0,311600000.0,311600000.0,311600000.0,311600000.0,310000000.0,310000000.0,310000000.0,310000000.0,341400000.0,341400000.0,341400000.0,341400000.0,341400000.0,633100000.0,633100000.0,633100000.0,633100000.0,593700000.0,593700000.0,593700000.0,593700000.0,808500000.0,793300000.0,793300000.0,793300000.0,870000000.0,870000000.0,870000000.0,870000000.0,,942400000.0,942400000.0,942400000.0,942400000.0,1357700000.0,1357700000.0,1357700000.0,1357700000.0,1404100000.0,1404100000.0,1404100000.0,1404100000.0,1068800000.0,787000000.0,787000000.0,787000000.0,804000000.0,804000000.0,804000000.0,804000000.0,871200000.0,871200000.0,871200000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,,,-762400000.0,,,,801100000.0,,,,865300000.0,,,,944900000.0,,,,1024500000.0,,,,1026500000.0,1026500000.0,,,,1123900000.0,,,,1392100000.0,,,,1559400000.0,,,,1737900000.0,,,,,1928700000.0,,,,2203100000.0,,,,2413200000.0,,,,2584400000.0,,,,2905100000.0,,,
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax / USD,,,,,,,-28100000.0,,,,-77100000.0,,,,-57800000.0,-93500000.0,-93500000.0,-93500000.0,-62900000.0,-67100000.0,-67100000.0,-67100000.0,98000000.0,-78600000.0,-78600000.0,-78600000.0,93500000.0,93500000.0,-74400000.0,-74400000.0,-74400000.0,67100000.0,-110400000.0,-110400000.0,-110400000.0,78600000.0,-93000000.0,-93000000.0,-93000000.0,110400000.0,-73300000.0,-73300000.0,-73300000.0,93000000.0,,-87000000.0,-87000000.0,-87000000.0,73300000.0,-140600000.0,-140600000.0,-140600000.0,87000000.0,-66000000.0,-66000000.0,-66000000.0,140600000.0,-30900000.0,-30900000.0,-30900000.0,66000000.0,-11700000.0,-11700000.0,-11700000.0,30900000.0,3100000.0,3100000.0,3100000.0
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax / USD,,,,,,,148100000.0,,,,68600000.0,,,,125800000.0,162900000.0,162900000.0,162900000.0,152800000.0,123200000.0,123200000.0,123200000.0,143500000.0,68000000.0,68000000.0,68000000.0,162900000.0,162900000.0,-293000000.0,-293000000.0,-293000000.0,123200000.0,-470700000.0,-470700000.0,-470700000.0,68000000.0,-240700000.0,-240700000.0,-240700000.0,-471500000.0,-389800000.0,-389800000.0,-389800000.0,-240700000.0,,-285400000.0,-285400000.0,-285400000.0,-389800000.0,-21300000.0,-21300000.0,-21300000.0,-285400000.0,-125900000.0,-125900000.0,-125900000.0,-21300000.0,-462300000.0,-462300000.0,-462300000.0,-125900000.0,-47600000.0,-47600000.0,-47600000.0,-462300000.0,-264700000.0,-264700000.0,-264700000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-16700000.0,-16700000.0,-16700000.0,61500000.0,61500000.0,61500000.0,120000000.0,88500000.0,88500000.0,88500000.0,-16700000.0,45500000.0,45500000.0,45500000.0,61500000.0,69400000.0,69400000.0,69400000.0,88500000.0,66200000.0,66200000.0,66200000.0,45500000.0,-10500000.0,-10500000.0,-10500000.0,69400000.0,69400000.0,-367400000.0,-367400000.0,-367400000.0,66200000.0,-581100000.0,-581100000.0,-581100000.0,-10500000.0,-333700000.0,-333700000.0,-333700000.0,-287000000.0,-463100000.0,-463100000.0,-463100000.0,-581900000.0,,-372400000.0,-372400000.0,-372400000.0,-333700000.0,-161900000.0,-161900000.0,-161900000.0,-463100000.0,-191900000.0,-191900000.0,-191900000.0,-372400000.0,-493200000.0,-493200000.0,-493200000.0,-161900000.0,-59300000.0,-59300000.0,-59300000.0,-191900000.0,-261600000.0,-261600000.0,-261600000.0
AdditionalPaidInCapitalCommonStock / USD,237400000.0,237400000.0,237400000.0,36700000.0,36700000.0,36700000.0,36700000.0,53900000.0,53900000.0,53900000.0,53900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1974500000.0,1974500000.0,1974500000.0,0.0,2131700000.0,2131700000.0,2131700000.0,0.0,1989800000.0,1989800000.0,1989800000.0,1974500000.0,1451100000.0,1451100000.0,1451100000.0,2131700000.0,,26800000.0,26800000.0,26800000.0,1989800000.0,110300000.0,110300000.0,110300000.0,1451100000.0,0.0,0.0,0.0,26800000.0,0.0,0.0,0.0,110300000.0,38400000.0,38400000.0,38400000.0,0.0,2800000.0,2800000.0,2800000.0
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50600000.0,14700000.0,14700000.0,14700000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,17900000.0,27000000.0,35400000.0,7200000.0,16800000.0,26100000.0,36200000.0,8700000.0,19400000.0,29500000.0,36400000.0,13100000.0,25500000.0,37200000.0,40000000.0,11800000.0,23700000.0,34800000.0,48900000.0,11300000.0,22100000.0,28900000.0,40700000.0,11700000.0,23600000.0,35100000.0,37300000.0,37300000.0,2800000.0,3900000.0,10100000.0,45700000.0,,57600000.0,81900000.0,102100000.0,27700000.0,52700000.0,85800000.0,109600000.0,25800000.0,25800000.0,25800000.0,109700000.0,,25500000.0,25500000.0,25500000.0,91600000.0,17900000.0,17900000.0,17900000.0,107000000.0,28700000.0,28700000.0,28700000.0,111700000.0,38200000.0,38200000.0,38200000.0,153700000.0,40600000.0,40600000.0,40600000.0,144100000.0,31600000.0,31600000.0,31600000.0
AllowanceForDoubtfulAccountsReceivable / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15700000.0,,19000000.0,19000000.0,19000000.0,19000000.0,22100000.0,22100000.0,22100000.0,19000000.0,21500000.0,21500000.0,21500000.0,22100000.0,43500000.0,30700000.0,30700000.0,9800000.0,32700000.0,32700000.0,32700000.0,30800000.0,44700000.0,44700000.0,44700000.0
AllowanceForDoubtfulAccountsReceivableWriteOffs / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400000.0,,,
AllowanceForDoubtfulOtherReceivablesCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11300000.0,14000000.0,14000000.0,14000000.0,14000000.0,10500000.0,10500000.0,10500000.0,10600000.0,7500000.0,7500000.0,7500000.0,7500000.0,7600000.0,7600000.0,7600000.0
AmortizationOfIntangibleAssets / USD,28400000.0,43000000.0,54900000.0,15100000.0,30300000.0,46200000.0,57900000.0,17400000.0,35100000.0,53100000.0,62600000.0,21900000.0,43400000.0,64600000.0,72700000.0,21400000.0,42000000.0,63100000.0,85800000.0,19500000.0,40000000.0,60300000.0,86300000.0,21000000.0,43000000.0,61300000.0,81700000.0,81700000.0,31100000.0,75700000.0,120600000.0,76700000.0,44300000.0,89600000.0,130700000.0,164500000.0,47600000.0,99000000.0,153600000.0,179500000.0,62300000.0,120800000.0,175500000.0,216500000.0,,57100000.0,117300000.0,179000000.0,231700000.0,62300000.0,122400000.0,184600000.0,243200000.0,92100000.0,184500000.0,276700000.0,275400000.0,67100000.0,100000000.0,149000000.0,229500000.0,53400000.0,104900000.0,160600000.0,193600000.0,60100000.0,122300000.0,186000000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,,,,,,2400000.0,,,,4600000.0,900000.0,1200000.0,1300000.0,2700000.0,1400000.0,2200000.0,3100000.0,1300000.0,3000000.0,500000.0,400000.0,2400000.0,0.0,100000.0,0.0,100000.0,100000.0,0.0,100000.0,100000.0,0.0,300000.0,0.0,0.0,0.0,100000.0,100000.0,100000.0,0.0,100000.0,100000.0,100000.0,100000.0,,300000.0,200000.0,200000.0,,1300000.0,1300000.0,400000.0,,0.0,100000.0,100000.0,,300000.0,300000.0,200000.0,,600000.0,400000.0,400000.0,200000.0,300000.0,300000.0,200000.0
AssetImpairmentCharges / USD,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,14800000.0,14800000.0,14800000.0,0.0,,0.0,0.0,39700000.0,0.0,15100000.0,23500000.0,0.0,2300000.0,2300000.0,5300000.0,,,0.0,0.0,0.0,,437400000.0,437400000.0,460900000.0,,0.0,0.0,0.0,,1200000.0,1200000.0,1200000.0,,2200000.0,5000000.0,15200000.0,261700000.0,2500000.0,2500000.0,2500000.0
Assets / USD,4669500000.0,4669500000.0,4669500000.0,4837800000.0,4837800000.0,4837800000.0,4837800000.0,6187800000.0,6187800000.0,6187800000.0,6187800000.0,6136600000.0,6136600000.0,6136600000.0,6111800000.0,6795000000.0,6795000000.0,6795000000.0,6795000000.0,6965900000.0,6965900000.0,6965900000.0,6965900000.0,7301800000.0,7301800000.0,7301800000.0,7301800000.0,7301800000.0,14103400000.0,14103400000.0,14077800000.0,14104700000.0,14247000000.0,14247000000.0,14247000000.0,14247000000.0,16673000000.0,16673000000.0,16673000000.0,16673000000.0,16185300000.0,16185300000.0,16185300000.0,16185300000.0,,18046400000.0,18046400000.0,18046400000.0,18046400000.0,20071700000.0,20071700000.0,20071700000.0,20071700000.0,20385400000.0,20385400000.0,20385400000.0,20385400000.0,20155100000.0,20155100000.0,20155100000.0,20155100000.0,16725100000.0,16725100000.0,16725100000.0,16725100000.0,18379000000.0,18379000000.0,18379000000.0
AssetsCurrent / USD,1032800000.0,1032800000.0,1032800000.0,935600000.0,935600000.0,935600000.0,935600000.0,1143800000.0,1143800000.0,1143800000.0,1143800000.0,1084800000.0,1084800000.0,1084800000.0,1060000000.0,1391800000.0,1391800000.0,1391800000.0,1391800000.0,1432100000.0,1432100000.0,1432100000.0,1432100000.0,1692700000.0,1692700000.0,1692700000.0,1692700000.0,1692700000.0,2621200000.0,2621200000.0,2621200000.0,2621200000.0,2478700000.0,2478700000.0,2478700000.0,2478700000.0,2733800000.0,2733800000.0,2733800000.0,2733800000.0,2835400000.0,2835400000.0,2835400000.0,2835400000.0,,2981200000.0,2981200000.0,2981200000.0,2981200000.0,5125400000.0,5125400000.0,5125400000.0,5125400000.0,5330500000.0,5330500000.0,5330500000.0,5330500000.0,4625000000.0,4625000000.0,4625000000.0,4625000000.0,3765400000.0,3765400000.0,3765400000.0,3765400000.0,4806500000.0,4806500000.0,4806500000.0
BusinessAcquisitionPurchasePriceAllocationGoodwillExpectedTaxDeductibleAmount / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36400000.0,41100000.0,
BusinessAcquisitionsProFormaNetIncomeLoss / USD,,,,,,,,,,,,,,,,,,,,,,,,,127000000.0,172700000.0,,,,,,,,,534200000.0,714300000.0,190600000.0,363200000.0,521200000.0,703800000.0,,,,906600000.0,,188000000.0,382600000.0,612900000.0,,,,,,,,1811100000.0,,490900000.0,690000000.0,597100000.0,,216200000.0,409500000.0,582700000.0,,,,640900000.0
BusinessAcquisitionsProFormaRevenue / USD,,,,,,,,,,,,,,,,,,,,,,,,,2203500000.0,2222800000.0,,,,,,,,,,,,,,,,,,11738500000.0,,2832600000.0,5775900000.0,8827700000.0,,,,,,,,12104100000.0,,3943000000.0,6149800000.0,9218600000.0,,3106000000.0,6206500000.0,9354400000.0,,,,10065600000.0
BusinessCombinationProvisionalInformationInitialAccountingIncompleteAdjustmentFinancialAssets / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-54200000.0,,-10400000.0,-3900000.0,-3900000.0,-7800000.0,,,
BusinessCombinationProvisionalInformationInitialAccountingIncompleteAdjustmentFinancialLiabilities / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-54200000.0,,-10400000.0,-3900000.0,0.0,,,,
BusinessCombinationProvisionalInformationInitialAccountingIncompleteAdjustmentIntangibles / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-134200000.0,,7400000.0,7400000.0,7400000.0,44300000.0,,,
BusinessCombinationProvisionalInformationInitialAccountingIncompleteAdjustmentInventory / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,2000000.0,,,
BusinessCombinationProvisionalInformationInitialAccountingIncompleteAdjustmentPropertyPlantAndEquipment / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,-3900000.0,-3900000.0,28100000.0,,,
BusinessCombinationProvisionalInformationInitialAccountingIncompleteAdjustmentsRelatedToPreviousPeriod / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,-600000.0,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAssets / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1638900000.0,1638900000.0,1638900000.0,1612300000.0,1621800000.0,,,,,,,,,,,,,572100000.0,579900000.0,679700000.0,,1258700000.0,,679700000.0,520600000.0,1258700000.0,311000000.0,334900000.0,520600000.0,1258700000.0,77500000.0,87500000.0,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCapitalLeaseObligation / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900000.0,,,,2900000.0,8100000.0,8100000.0,62500000.0,2900000.0,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents / USD,,,,,,,,,,,,,,,,,,,,,,,,,780800000.0,780800000.0,780800000.0,780800000.0,780800000.0,,,780800000.0,,,,30700000.0,30700000.0,30700000.0,30700000.0,30700000.0,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsOther / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200000.0,2900000.0,2900000.0,,300000.0,,2900000.0,,300000.0,,,,300000.0,,,
