fact_unit,2012-12-10,2013-03-04,2013-03-05,2013-06-04,2013-09-25,2013-12-05,2014-02-24,2014-06-03,2014-09-18,2014-11-25,2015-03-03,2015-05-28,2015-09-17,2015-11-24,2016-02-26,2016-05-27,2016-09-08,2016-11-22,2017-03-01,2017-06-01,2017-09-07,2017-11-21,2018-02-27,2018-06-05,2018-09-13,2018-11-30,2019-02-27,2019-05-30,2019-09-09,2019-11-26,2020-02-25,2020-05-22,2020-09-04,2020-11-19,2021-02-23,2021-05-21,2021-09-03,2021-11-19,2022-02-23,2022-05-20,2022-09-06,2022-11-18,2023-02-22,2023-05-24,2023-09-01,2023-11-17,2024-02-21,2024-05-21,2024-09-06,2024-11-21,2025-02-14,2025-05-21,2025-08-29,2025-11-20
AccountsPayableCurrent / USD,9214000.0,9214000.0,9214000.0,9214000.0,9214000.0,15544000.0,15544000.0,15544000.0,15544000.0,14526000.0,14526000.0,14526000.0,14526000.0,13200000.0,13200000.0,13200000.0,13200000.0,30200000.0,30200000.0,30200000.0,30200000.0,35500000.0,35500000.0,35500000.0,35500000.0,49400000.0,49400000.0,49400000.0,49400000.0,73300000.0,73300000.0,73300000.0,73300000.0,63600000.0,63600000.0,63600000.0,63600000.0,56900000.0,56900000.0,56900000.0,56900000.0,128000000.0,128000000.0,128000000.0,128000000.0,132300000.0,132300000.0,132300000.0,132300000.0,116300000.0,116300000.0,116300000.0,116300000.0,232000000.0
AccountsReceivableNetCurrent / USD,45642000.0,45642000.0,45642000.0,45642000.0,45642000.0,87461000.0,87461000.0,87461000.0,87461000.0,135518000.0,135518000.0,135518000.0,135518000.0,212400000.0,212400000.0,212400000.0,212400000.0,348700000.0,348700000.0,348700000.0,348700000.0,432100000.0,432100000.0,432100000.0,432100000.0,467000000.0,467000000.0,467000000.0,467000000.0,582400000.0,582400000.0,582400000.0,582400000.0,1037100000.0,1037100000.0,1037100000.0,1037100000.0,1240400000.0,1240400000.0,1240400000.0,1240400000.0,2142500000.0,2142500000.0,2142500000.0,2142500000.0,2463200000.0,2463200000.0,2463200000.0,2463200000.0,2618600000.0,2618600000.0,2618600000.0,2618600000.0,2965000000.0
AccretionAmortizationOfDiscountsAndPremiumsInvestments / USD,0.0,0.0,0.0,0.0,0.0,-316000.0,-822000.0,-1445000.0,0.0,-386000.0,-747000.0,-1180000.0,-1943000.0,-700000.0,-1500000.0,-2300000.0,-1500000.0,-800000.0,-1600000.0,-2400000.0,-3200000.0,-700000.0,-1400000.0,-2100000.0,-3000000.0,-500000.0,-600000.0,-600000.0,-2700000.0,2400000.0,7700000.0,13000000.0,-500000.0,3200000.0,4600000.0,6200000.0,17500000.0,-2700000.0,-5900000.0,-9200000.0,6200000.0,-3600000.0,-7300000.0,-10500000.0,-13100000.0,-1700000.0,14300000.0,34400000.0,-13500000.0,14700000.0,30900000.0,46500000.0,52200000.0,15000000.0
AccruedLiabilitiesCurrent / USD,15189000.0,15189000.0,15189000.0,15189000.0,11497000.0,14609000.0,14609000.0,14609000.0,11144000.0,25000000.0,25000000.0,25000000.0,,28200000.0,28200000.0,28200000.0,,39200000.0,39200000.0,39200000.0,,79900000.0,79900000.0,79900000.0,79900000.0,124600000.0,124600000.0,124600000.0,124600000.0,162400000.0,162400000.0,162400000.0,162400000.0,256800000.0,256800000.0,256800000.0,256800000.0,329400000.0,329400000.0,329400000.0,329400000.0,399200000.0,399200000.0,399200000.0,399200000.0,390800000.0,390800000.0,390800000.0,390800000.0,506700000.0,506700000.0,506700000.0,506700000.0,846000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,10826000.0,,,,19476000.0,,,,30622000.0,,,,47800000.0,,,,78200000.0,,,,102300000.0,,,,161900000.0,,,,244200000.0,,,,321000000.0,,,,399000000.0,,,,469700000.0,,,,528300000.0,,,,559200000.0,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,0.0,0.0,0.0,0.0,0.0,-16000.0,-16000.0,-16000.0,-16000.0,-105000.0,-105000.0,-105000.0,-105000.0,-100000.0,-100000.0,-100000.0,-100000.0,1000000.0,1000000.0,1000000.0,1000000.0,-3400000.0,-3400000.0,-3400000.0,-3400000.0,-16400000.0,-16400000.0,-16400000.0,-16400000.0,-3700000.0,-3700000.0,-3700000.0,-3700000.0,10500000.0,10500000.0,10500000.0,10500000.0,-9900000.0,-9900000.0,-9900000.0,-9900000.0,-55600000.0,-55600000.0,-55600000.0,-55600000.0,-43200000.0,-43200000.0,-43200000.0,-43200000.0,-1600000.0,-1600000.0,-1600000.0,-1600000.0,48000000.0
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,,,,,,,,,,,,,,,,,,,21400000.0,,,,21400000.0,,22900000.0,34300000.0,21400000.0,13900000.0,21000000.0,24600000.0,43700000.0,5300000.0,12000000.0,16800000.0,33200000.0,9700000.0,15400000.0,22000000.0,22700000.0,20000000.0,28600000.0,39800000.0,28900000.0,13900000.0,15400000.0,17500000.0,50300000.0,15500000.0,19300000.0,22700000.0,20400000.0,22000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,,,4733000.0,,,,13837000.0,,,,43704000.0,,,,99800000.0,,,,221300000.0,,,,393100000.0,,259000000.0,376900000.0,477400000.0,140200000.0,284300000.0,423000000.0,502500000.0,153700000.0,326600000.0,496200000.0,575500000.0,208800000.0,460800000.0,709500000.0,674400000.0,265700000.0,535300000.0,789800000.0,943400000.0,279200000.0,566700000.0,843300000.0,1031400000.0,273100000.0,575200000.0,845200000.0,1097000000.0,295000000.0
AllocatedShareBasedCompensationExpense / USD,1449000.0,3499000.0,3499000.0,7373000.0,4733000.0,8342000.0,17096000.0,29730000.0,13925000.0,14411000.0,38795000.0,66787000.0,43876000.0,38500000.0,95400000.0,155600000.0,99900000.0,72900000.0,174800000.0,283300000.0,221400000.0,113300000.0,240600000.0,358000000.0,392900000.0,125700000.0,256500000.0,380200000.0,475700000.0,151100000.0,293500000.0,431700000.0,503900000.0,151200000.0,324100000.0,490200000.0,587700000.0,212900000.0,454000000.0,696900000.0,664500000.0,260300000.0,525400000.0,772700000.0,926900000.0,266000000.0,555900000.0,833100000.0,1013400000.0,271000000.0,546300000.0,809800000.0,1087300000.0,295000000.0
AllowanceForDoubtfulAccountsReceivableCurrent / USD,164000.0,164000.0,164000.0,164000.0,164000.0,51000.0,51000.0,51000.0,51000.0,471000.0,471000.0,471000.0,471000.0,700000.0,700000.0,700000.0,700000.0,2400000.0,2400000.0,2400000.0,2400000.0,700000.0,700000.0,700000.0,700000.0,1200000.0,1200000.0,1200000.0,1200000.0,800000.0,800000.0,800000.0,800000.0,2300000.0,2300000.0,2300000.0,2300000.0,11200000.0,11200000.0,11200000.0,11200000.0,8900000.0,8900000.0,8900000.0,8900000.0,7800000.0,7800000.0,7800000.0,7800000.0,7500000.0,7500000.0,7500000.0,7500000.0,10000000.0
AllowanceForNotesAndLoansReceivableCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000.0,300000.0,700000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1300000.0,1300000.0,1300000.0,1300000.0,3400000.0,3400000.0,3400000.0,3400000.0,8600000.0,8600000.0,8600000.0,8600000.0,5000000.0
AllowanceForNotesAndLoansReceivableNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000.0,400000.0,1500000.0,4300000.0,4300000.0,4300000.0,4300000.0,4300000.0,2500000.0,2500000.0,2500000.0,2500000.0,6100000.0,6100000.0,6100000.0,6100000.0,9700000.0,9700000.0,9700000.0,9700000.0,8000000.0
AmortizationOfFinancingCosts / USD,,,,,,,,,166000.0,497000.0,,,166000.0,500000.0,1000000.0,1500000.0,200000.0,500000.0,1100000.0,1700000.0,2100000.0,600000.0,1200000.0,1900000.0,2300000.0,700000.0,1300000.0,2100000.0,2500000.0,1000000.0,1600000.0,2400000.0,2900000.0,500000.0,1000000.0,1500000.0,3000000.0,1200000.0,2500000.0,3800000.0,2500000.0,1800000.0,3600000.0,5400000.0,5100000.0,1800000.0,3500000.0,5300000.0,7200000.0,,,,6700000.0,
AmortizationOfFinancingCostsAndDiscounts / USD,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5500000.0,11000000.0,16600000.0,1800000.0,5700000.0,11500000.0,17400000.0,22300000.0,6000000.0,12100000.0,18300000.0,23400000.0,6300000.0,12700000.0,19200000.0,24500000.0,19400000.0,36500000.0,53600000.0,28800000.0,15500000.0,31200000.0,47000000.0,70200000.0,35100000.0,70600000.0,106500000.0,73900000.0,1800000.0,3600000.0,5400000.0,142900000.0,1800000.0,3500000.0,5300000.0,7200000.0,1000000.0,2100000.0,2900000.0,6700000.0,
AmortizationOfIntangibleAssets / USD,,,,,,,26000.0,68000.0,39000.0,155000.0,425000.0,1245000.0,100000.0,,,,2900000.0,,,7100000.0,7900000.0,,,7100000.0,9400000.0,2700000.0,5400000.0,9200000.0,9800000.0,9400000.0,23800000.0,38500000.0,16300000.0,16900000.0,34800000.0,54100000.0,53600000.0,23600000.0,53300000.0,86100000.0,77300000.0,31800000.0,63500000.0,95300000.0,117800000.0,29100000.0,53900000.0,79700000.0,126900000.0,24900000.0,53300000.0,86700000.0,104900000.0,41000000.0
AssetImpairmentCharges / USD,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,
