fact_unit,2013-11-12,2014-02-07,2014-05-09,2014-08-14,2014-11-06,2015-02-06,2015-05-06,2015-08-13,2015-11-06,2016-02-05,2016-05-06,2016-08-12,2016-11-08,2017-02-10,2017-05-10,2017-08-14,2017-11-13,2018-02-09,2018-05-11,2018-08-15,2018-11-08,2019-02-08,2019-05-10,2019-08-13,2019-11-08,2020-02-07,2020-05-08,2020-08-11,2020-11-06,2021-02-05,2021-05-07,2021-08-10,2021-11-05,2022-02-04,2022-05-06,2022-08-12,2022-11-09,2023-02-10,2023-05-12,2023-08-15,2023-11-09,2024-02-08,2024-05-09,2024-08-13,2024-11-08,2025-02-06,2025-05-09,2025-05-13,2025-08-06,2025-11-07
DeferredTaxAssetsGross / USD,,,,1740000000.0,,,,1792000000.0,,,,1929000000.0,,,,1931000000.0,,,,1911000000.0,,,,1726000000.0,,,,1739000000.0,,,,2212000000.0,,,,2446000000.0,,,,2240000000.0,,,,2251000000.0,,,,2176000000.0,2192000000.0,
DeferredTaxAssetsLiabilitiesNet / USD,,,,-19000000.0,,,,-38000000.0,,,,115000000.0,,,,431000000.0,,,,464000000.0,,,,,,,,74000000.0,,,,74000000.0,,,,118000000.0,,,,224000000.0,,,,230000000.0,,,,361000000.0,311000000.0,
DeferredTaxAssetsOperatingLossCarryforwards / USD,,,,275000000.0,,,,262000000.0,,,,540000000.0,,,,580000000.0,,,,473000000.0,,,,348000000.0,,,,397000000.0,,,,578000000.0,,,,484000000.0,,,,408000000.0,,,,360000000.0,,,,304000000.0,295000000.0,
DeferredTaxAssetsOther / USD,,,,155000000.0,,,,225000000.0,,,,310000000.0,,,,213000000.0,,,,284000000.0,,,,294000000.0,,,,210000000.0,,,,197000000.0,,,,153000000.0,,,,116000000.0,,,,138000000.0,,,,204000000.0,227000000.0,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities / USD,,,,61000000.0,,,,49000000.0,,,,56000000.0,,,,185000000.0,,,,80000000.0,,,,95000000.0,,,,78000000.0,,,,100000000.0,,,,169000000.0,,,,181000000.0,,,,150000000.0,,,,115000000.0,121000000.0,
DeferredTaxAssetsValuationAllowance / USD,,,,1391000000.0,,,,1393000000.0,,,,1308000000.0,,,,1014000000.0,,,,1187000000.0,,,,1385000000.0,,,,1468000000.0,,,,1546000000.0,,,,1765000000.0,,,,1588000000.0,,,,1646000000.0,,,,1528000000.0,1541000000.0,
DeferredTaxLiabilitiesOther / USD,,,,2000000.0,,,,61000000.0,,,,41000000.0,,,,65000000.0,,,,56000000.0,,,,89000000.0,,,,31000000.0,,,,47000000.0,,,,63000000.0,,,,8000000.0,,,,9000000.0,,,,10000000.0,21000000.0,
DefinedBenefitPlanActualReturnOnPlanAssets / USD,,,,,,,,109000000.0,,,,96000000.0,,,,121000000.0,,,,106000000.0,,,,35000000.0,,,,77000000.0,,,,110000000.0,,,,48000000.0,,,,-215000000.0,,,,-92000000.0,,,,-92000000.0,45000000.0,
DefinedBenefitPlanActuarialGainLoss / USD,,,,,,,,-83000000.0,,,,-82000000.0,,,,-179000000.0,,,,-47000000.0,,,,-176000000.0,,,,85000000.0,,,,146000000.0,,,,-10000000.0,,,,-283000000.0,,,,-127000000.0,,,,-127000000.0,0.0,
DefinedBenefitPlanAmortizationOfGainsLosses / USD,,,,,,,,-21000000.0,,,,-15000000.0,,,,-16000000.0,,,,-18000000.0,,,,21000000.0,,,,23000000.0,,,,-14000000.0,,,,-16000000.0,,,,-20000000.0,,,,-19000000.0,,,,-19000000.0,-19000000.0,
DefinedBenefitPlanAmortizationOfPriorServiceCostCredit / USD,,,,,,,,-13000000.0,,,,-13000000.0,,,,-13000000.0,,,,-7000000.0,,,,-4000000.0,,,,-3000000.0,,,,-3000000.0,,,,-3000000.0,,,,-4000000.0,,,,-4000000.0,,,,-4000000.0,-4000000.0,
DefinedBenefitPlanAmountsRecognizedInBalanceSheet / USD,,,,-353000000.0,,,,-217000000.0,,,,-281000000.0,,,,-356000000.0,,,,-312000000.0,,,,-120000000.0,,,,-159000000.0,,,,-194000000.0,,,,-102000000.0,,,,-32000000.0,,,,-13000000.0,,,,-13000000.0,12000000.0,
DefinedBenefitPlanAmountsRecognizedInOtherComprehensiveIncomeLossNetGainLossBeforeTax / USD,,,,,,,,492000000.0,,,,533000000.0,,,,578000000.0,,,,563000000.0,,,,407000000.0,,,,460000000.0,,,,-513000000.0,,,,-512000000.0,,,,-421000000.0,,,,-431000000.0,,,,-431000000.0,-406000000.0,
DefinedBenefitPlanAssetsForPlanBenefitsNoncurrent / USD,,,,,,,,67000000.0,,,,36000000.0,,,,4000000.0,,,,17000000.0,,135000000.0,135000000.0,135000000.0,117000000.0,117000000.0,117000000.0,117000000.0,94000000.0,94000000.0,94000000.0,94000000.0,120000000.0,120000000.0,120000000.0,120000000.0,133000000.0,133000000.0,133000000.0,133000000.0,134000000.0,134000000.0,134000000.0,134000000.0,147000000.0,147000000.0,147000000.0,134000000.0,147000000.0,165000000.0
DefinedBenefitPlanBenefitObligation / USD,,,,,,,,1639000000.0,,,,1752000000.0,,,,1787000000.0,,,,1723000000.0,,,,1701000000.0,,,,1480000000.0,,,,1484000000.0,,,,1513000000.0,,,,1549000000.0,,,,1083000000.0,,,,1083000000.0,946000000.0,
DefinedBenefitPlanContributionsByEmployer / USD,,,,141000000.0,,,,137000000.0,,,,9000000.0,,,,26000000.0,,,,26000000.0,,,,29000000.0,,,,16000000.0,,,,30000000.0,,,,35000000.0,,,,29000000.0,,,,14000000.0,,,,14000000.0,23000000.0,
DefinedBenefitPlanExpectedFutureBenefitPaymentsFiveFiscalYearsThereafter / USD,,,,,,,,482000000.0,,,,440000000.0,,,,423000000.0,,,,396000000.0,,,,377000000.0,,,,357000000.0,,,,371000000.0,,,,337000000.0,,,,322000000.0,,,,318000000.0,,,,318000000.0,327000000.0,
DefinedBenefitPlanExpectedFutureBenefitPaymentsNextTwelveMonths / USD,,,,,,,,87000000.0,,,,80000000.0,,,,84000000.0,,,,81000000.0,,,,92000000.0,,,,84000000.0,,,,88000000.0,,,,79000000.0,,,,125000000.0,,,,75000000.0,,,,75000000.0,77000000.0,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearFive / USD,,,,,,,,92000000.0,,,,84000000.0,,,,85000000.0,,,,81000000.0,,,,76000000.0,,,,72000000.0,,,,75000000.0,,,,70000000.0,,,,68000000.0,,,,67000000.0,,,,67000000.0,69000000.0,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearFour / USD,,,,,,,,89000000.0,,,,82000000.0,,,,82000000.0,,,,79000000.0,,,,77000000.0,,,,73000000.0,,,,77000000.0,,,,69000000.0,,,,68000000.0,,,,69000000.0,,,,69000000.0,72000000.0,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearThree / USD,,,,,,,,87000000.0,,,,79000000.0,,,,81000000.0,,,,78000000.0,,,,76000000.0,,,,74000000.0,,,,79000000.0,,,,72000000.0,,,,68000000.0,,,,69000000.0,,,,69000000.0,72000000.0,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearTwo / USD,,,,,,,,85000000.0,,,,78000000.0,,,,78000000.0,,,,79000000.0,,,,74000000.0,,,,75000000.0,,,,80000000.0,,,,74000000.0,,,,71000000.0,,,,70000000.0,,,,70000000.0,73000000.0,
DefinedBenefitPlanExpectedFutureEmployerContributionsNextFiscalYear / USD,,,,,,,,,,,,,,,,,,,,17000000.0,,,,20000000.0,,,,22000000.0,,,,15000000.0,,,,12000000.0,,,,23000000.0,,,,1000000.0,,,,1000000.0,1000000.0,
DefinedBenefitPlanExpectedReturnOnPlanAssets / USD,,,,,,,,78000000.0,,,,93000000.0,,,,93000000.0,,,,81000000.0,,,,-75000000.0,,,,-71000000.0,,,,61000000.0,,,,59000000.0,,,,50000000.0,,,,51000000.0,,,,51000000.0,43000000.0,
DefinedBenefitPlanFairValueOfPlanAssets / USD,,,,1286000000.0,,,,1286000000.0,,,,1535000000.0,,,,1506000000.0,,,,1367000000.0,,,,1389000000.0,,,,1360000000.0,,,,1325000000.0,,,,1319000000.0,,,,1447000000.0,,,,1051000000.0,,,,1051000000.0,933000000.0,
DefinedBenefitPlanForeignCurrencyExchangeRateChangesBenefitObligation / USD,,,,,,,,119000000.0,,,,-123000000.0,,,,-190000000.0,,,,-15000000.0,,,,14000000.0,,,,-40000000.0,,,,-32000000.0,,,,129000000.0,,,,-117000000.0,,,,24000000.0,,,,24000000.0,4000000.0,
DefinedBenefitPlanFundedStatusOfPlan / USD,,,,,,,,-217000000.0,,,,-281000000.0,,,,-356000000.0,,,,-312000000.0,,,,-120000000.0,,,,-159000000.0,,,,-194000000.0,,,,-102000000.0,,,,-32000000.0,,,,-13000000.0,,,,-13000000.0,12000000.0,
DefinedBenefitPlanInterestCost / USD,,,,,,,,70000000.0,,,,74000000.0,,,,72000000.0,,,,66000000.0,,,,44000000.0,,,,44000000.0,,,,42000000.0,,,,34000000.0,,,,25000000.0,,,,25000000.0,,,,25000000.0,40000000.0,
DefinedBenefitPlanNetPeriodicBenefitCost / USD,,,,45000000.0,,,,56000000.0,,,,7000000.0,,,,-4000000.0,,,,8000000.0,,,,1000000.0,,,,3000000.0,,,,-2000000.0,,,,7000000.0,,,,-1000000.0,,,,0.0,,,,0.0,13000000.0,
DefinedBenefitPlanPlanAssetsBenefitsPaid / USD,,,,,,,,,,,,,,,,,,,,70000000.0,,,,80000000.0,,,,71000000.0,,,,64000000.0,,,,71000000.0,,,,68000000.0,,,,70000000.0,,,,70000000.0,64000000.0,
DefinedBenefitPlanPlanAssetsForeignCurrencyTranslationGainLoss / USD,,,,,,,,,,,,,,,,,,,,12000000.0,,,,8000000.0,,,,-42000000.0,,,,-33000000.0,,,,130000000.0,,,,-125000000.0,,,,28000000.0,,,,28000000.0,-4000000.0,
DefinedBenefitPlanRecognizedNetGainLossDueToSettlementsAndCurtailments1 / USD,,,,,,,,,,,,-7000000.0,,,,-2000000.0,,,,-2000000.0,,,,6000000.0,,,,4000000.0,,,,-4000000.0,,,,-17000000.0,,,,-6000000.0,,,,-10000000.0,,,,-10000000.0,0.0,
DefinedBenefitPlanServiceCost / USD,,,,,,,,20000000.0,,,,17000000.0,,,,12000000.0,,,,10000000.0,,,,9000000.0,,,,6000000.0,,,,2000000.0,,,,2000000.0,,,,2000000.0,,,,1000000.0,,,,1000000.0,1000000.0,
DefinedBenefitPlanSettlementsBenefitObligation / USD,,,,,,,,48000000.0,,,,9000000.0,,,,44000000.0,,,,36000000.0,,,,-29000000.0,,,,-23000000.0,,,,-57000000.0,,,,-22000000.0,,,,24000000.0,,,,5000000.0,,,,5000000.0,54000000.0,
DefinedBenefitPlanSettlementsPlanAssets / USD,,,,,,,,48000000.0,,,,9000000.0,,,,44000000.0,,,,36000000.0,,,,29000000.0,,,,23000000.0,,,,57000000.0,,,,22000000.0,,,,24000000.0,,,,5000000.0,,,,5000000.0,54000000.0,
DefinedBenefitPlanWeightedAverageAssetAllocations / pure,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,1.0,
Depreciation / USD,,,,,,,,,,,,,,,,407000000.0,,,,415000000.0,,,,358000000.0,,,,372000000.0,,,,533000000.0,,,,537000000.0,,,,568000000.0,,,,548000000.0,,,,289000000.0,309000000.0,
DepreciationAndAmortization / USD,125000000.0,254000000.0,398000000.0,483000000.0,141000000.0,279000000.0,421000000.0,548000000.0,124000000.0,251000000.0,375000000.0,552000000.0,121000000.0,244000000.0,370000000.0,498000000.0,120000000.0,240000000.0,349000000.0,505000000.0,97000000.0,197000000.0,297000000.0,449000000.0,163000000.0,326000000.0,494000000.0,472000000.0,162000000.0,324000000.0,484000000.0,659000000.0,164000000.0,331000000.0,504000000.0,644000000.0,165000000.0,333000000.0,505000000.0,680000000.0,179000000.0,353000000.0,536000000.0,688000000.0,171000000.0,211000000.0,325000000.0,372000000.0,415000000.0,112000000.0
DisposalGroupIncludingDiscontinuedOperationAssetsNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2233000000.0,2233000000.0,2485000000.0,2233000000.0,
DisposalGroupIncludingDiscontinuedOperationCashAndCashEquivalents / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17000000.0,16000000.0,51000000.0,72000000.0,15000000.0
EarningsPerShareBasic / USD/shares,,2.26,2.82,-3.58,0.05,0.31,0.39,0.87,,,,0.08,,,,,-0.03,-0.52,,,0.12,-0.03,,-1.27,,0.34,,-2.6,,-0.24,,0.27,0.06,0.45,0.58,-2.16,0.33,0.73,0.87,0.56,0.07,0.18,0.27,1.06,0.05,0.33,0.38,1.06,0.26,0.21
EarningsPerShareDiluted / USD/shares,,2.26,2.82,-3.58,0.05,0.31,0.39,0.87,,,,0.3,,,,0.3,-0.03,-0.52,,,0.12,-0.03,,-1.27,,0.33,,-2.6,,-0.24,,0.26,0.06,0.45,0.58,-2.16,0.33,0.72,0.86,0.56,0.07,0.18,0.27,1.05,0.05,0.32,0.38,1.05,0.26,0.21
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,,,,,,17000000.0,14000000.0,9000000.0,12000000.0,-16000000.0,-32000000.0,-23000000.0,-20000000.0,-16000000.0,-1000000.0,-39000000.0,-32000000.0,13000000.0,57000000.0,72000000.0,-7000000.0,-24000000.0,-35000000.0,-21000000.0,75000000.0,-54000000.0,-6000000.0,-11000000.0,-96000000.0,-25000000.0,9000000.0,-11000000.0,-90000000.0,,
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5000000.0,36000000.0
EffectiveIncomeTaxRateContinuingOperations / pure,,,,0.14,,,,-2.16,,,,3.45,,,,0.34,,,,-0.3,,,,-0.05,,,,-0.33,,,,0.36,,,,-0.01,,,,0.14,,,,0.06,,,,0.08,0.4,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate / pure,,,,0.35,,,,0.35,,,,0.35,,,,0.35,,,,0.35,0.21,,,0.35,,,,0.28,,,,0.21,,,,0.21,,,,0.21,,,,0.21,,,,0.21,0.21,
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance / pure,,,,,,,,,,,,0.0,,,,0.0,,,,-0.62,,,,-0.07,,,,0.01,,,,0.0,,,,0.0,,,,-0.16,,,,-0.19,,,,-0.18,0.01,
EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate / pure,,,,,,,,,,,,,,,,,,,,0.0,,,,-0.22,,,,-0.22,,,,0.0,,,,0.0,,,,-0.07,,,,-0.02,,,,-0.02,,
EffectiveIncomeTaxRateReconciliationDispositionOfAssets / pure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,-0.02,,,,-0.02,0.0,
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential / pure,,,,,,,,,,,,0.38,,,,-0.02,,,,-0.01,,,,-0.17,,,,-0.02,,,,0.09,,,,-0.02,,,,0.12,,,,0.07,,,,0.07,0.15,
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseImpairmentLosses / pure,,,,-0.16,,,,0.87,,,,,,,,0.0,,,,0.0,,,,-0.07,,,,-0.32,,,,0.05,,,,-0.22,,,,0.01,,,,0.0,,,,0.0,0.02,
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseShareBasedCompensationCost / pure,,,,,,,,0.07,,,,0.0,,,,0.01,,,,0.03,,,,-0.01,,,,-0.01,,,,0.01,,,,0.0,,,,0.04,,,,0.0,,,,0.0,0.02,
EffectiveIncomeTaxRateReconciliationOtherAdjustments / pure,,,,-0.02,,,,0.02,,,,0.04,,,,0.0,,,,0.05,,,,0.01,,,,0.0,,,,0.0,,,,0.0,,,,-0.01,,,,0.01,,,,0.02,-0.02,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes / pure,,,,0.01,,,,-0.02,,,,0.03,,,,0.01,,,,-0.08,,,,-0.01,,,,-0.01,,,,0.02,,,,0.01,,,,0.02,,,,0.01,,,,0.01,0.03,
EffectiveIncomeTaxRateReconciliationTaxCreditsResearch / pure,,,,,,,,,,,,-0.02,,,,0.01,,,,0.02,,,,-0.01,,,,0.0,,,,0.02,,,,-0.01,,,,0.02,,,,0.01,,,,0.01,0.02,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized / USD,,,,50000000.0,,,,73000000.0,,,,53000000.0,,,,52000000.0,,,,56000000.0,,,,52000000.0,,,,48000000.0,,,,70000000.0,,,,69000000.0,,,,66000000.0,,,,71000000.0,,,,66000000.0,68000000.0,
EquityMethodInvestmentRealizedGainLossOnDisposal / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87000000.0,87000000.0,,0.0,
EquityMethodInvestments / USD,,,,,,,,,,,,,,,,,,,,,173000000.0,136000000.0,136000000.0,1432000000.0,148000000.0,148000000.0,148000000.0,148000000.0,120000000.0,120000000.0,120000000.0,120000000.0,71000000.0,71000000.0,71000000.0,71000000.0,276000000.0,276000000.0,276000000.0,276000000.0,192000000.0,192000000.0,192000000.0,192000000.0,216000000.0,215000000.0,215000000.0,192000000.0,215000000.0,85000000.0
EquitySecuritiesFvNi / USD,,,,,,,,,,,,,,,,,,,,,220000000.0,93000000.0,,220000000.0,187000000.0,187000000.0,187000000.0,187000000.0,177000000.0,177000000.0,177000000.0,177000000.0,280000000.0,280000000.0,280000000.0,280000000.0,212000000.0,212000000.0,212000000.0,212000000.0,235000000.0,235000000.0,235000000.0,235000000.0,214000000.0,214000000.0,214000000.0,235000000.0,214000000.0,931000000.0
EquitySecuritiesFvNiGainLoss / USD,,,,,,,,,,,,,,,,,,,,,,,13000000.0,35000000.0,15000000.0,-29000000.0,-23000000.0,35000000.0,1000000.0,-5000000.0,-22000000.0,-23000000.0,9000000.0,42000000.0,73000000.0,-21000000.0,28000000.0,19000000.0,1000000.0,81000000.0,-3000000.0,-14000000.0,-16000000.0,-59000000.0,-23000000.0,-10000000.0,-11000000.0,-59000000.0,-9000000.0,10000000.0
EquitySecuritiesFvNiUnrealizedGainLoss / USD,,,,,,,,,,,,,,,,,,,,,-25000000.0,7000000.0,8000000.0,28000000.0,15000000.0,-29000000.0,-23000000.0,28000000.0,1000000.0,-5000000.0,-22000000.0,-23000000.0,9000000.0,42000000.0,73000000.0,-21000000.0,28000000.0,19000000.0,1000000.0,82000000.0,-3000000.0,-16000000.0,-18000000.0,-59000000.0,-23000000.0,-10000000.0,-11000000.0,-59000000.0,-11000000.0,10000000.0
FinanceLeaseLiability / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,118000000.0,118000000.0,118000000.0,118000000.0,100000000.0,100000000.0,100000000.0,100000000.0,67000000.0,67000000.0,67000000.0,67000000.0,42000000.0,42000000.0,42000000.0,42000000.0,23000000.0,,,,0.0,
FiniteLivedIntangibleAssetsAccumulatedAmortization / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075000000.0,
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths / USD,,,,90000000.0,,,,94000000.0,,,,93000000.0,,,,88000000.0,,,,120000000.0,,,,112000000.0,,,,98000000.0,,,,130000000.0,,,,163000000.0,,,,155000000.0,,,,151000000.0,,,,96000000.0,97000000.0,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive / USD,,,,63000000.0,,,,65000000.0,,,,60000000.0,,,,57000000.0,,,,97000000.0,,,,89000000.0,,,,80000000.0,,,,113000000.0,,,,142000000.0,,,,129000000.0,,,,94000000.0,,,,79000000.0,79000000.0,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour / USD,,,,68000000.0,,,,70000000.0,,,,67000000.0,,,,62000000.0,,,,103000000.0,,,,94000000.0,,,,83000000.0,,,,115000000.0,,,,148000000.0,,,,144000000.0,,,,129000000.0,,,,84000000.0,83000000.0,
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree / USD,,,,77000000.0,,,,83000000.0,,,,77000000.0,,,,67000000.0,,,,108000000.0,,,,101000000.0,,,,87000000.0,,,,118000000.0,,,,151000000.0,,,,149000000.0,,,,143000000.0,,,,88000000.0,88000000.0,
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo / USD,,,,82000000.0,,,,90000000.0,,,,89000000.0,,,,75000000.0,,,,112000000.0,,,,105000000.0,,,,94000000.0,,,,124000000.0,,,,154000000.0,,,,152000000.0,,,,148000000.0,,,,93000000.0,92000000.0,
FiniteLivedIntangibleAssetsGross / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2140000000.0,
FiniteLivedIntangibleAssetsNet / USD,,,,1262000000.0,,,,1229000000.0,,,,1117000000.0,,,,1073000000.0,,,,991000000.0,,,,1197000000.0,,,,1068000000.0,,,,917000000.0,,,,1122000000.0,,,,1643000000.0,,,,1594000000.0,,,,1165000000.0,1065000000.0,
GainLossOnSaleOfBusiness / USD,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,98000000.0,,,,98000000.0,,
Goodwill / USD,2725000000.0,2725000000.0,2725000000.0,2588000000.0,2782000000.0,2782000000.0,2782000000.0,2725000000.0,3063000000.0,3063000000.0,3063000000.0,2457000000.0,3714000000.0,3714000000.0,3714000000.0,3063000000.0,3838000000.0,3838000000.0,3838000000.0,3714000000.0,5218000000.0,5218000000.0,5218000000.0,3838000000.0,5147000000.0,5147000000.0,5147000000.0,5218000000.0,3951000000.0,3951000000.0,3951000000.0,5147000000.0,4653000000.0,4653000000.0,4653000000.0,3951000000.0,5169000000.0,5169000000.0,5169000000.0,4653000000.0,5140000000.0,5140000000.0,5140000000.0,5169000000.0,5186000000.0,4336000000.0,4336000000.0,4300000000.0,4291000000.0,4373000000.0
GoodwillAcquiredDuringPeriod / USD,,,,754000000.0,,,,33000000.0,,,,761000000.0,,,,656000000.0,,,,159000000.0,,,,1699000000.0,,,,154000000.0,,,,12000000.0,,,,514000000.0,,,,738000000.0,,,,13000000.0,,,,13000000.0,60000000.0,
GoodwillAndIntangibleAssetImpairment / USD,,,,,,,,,,,,,,,,88000000.0,,,,88000000.0,,,225000000.0,88000000.0,,,1398000000.0,43000000.0,,,,87000000.0,,,,89000000.0,,,,0.0,,,,0.0,,,,0.0,2000000.0,
GoodwillForeignCurrencyTranslationGainLoss / USD,,,,,,,,,,,,,,,,-5000000.0,,,,33000000.0,,,,-101000000.0,,,,-160000000.0,,,,-108000000.0,,,,189000000.0,,,,-222000000.0,,,,-42000000.0,,,,-22000000.0,-6000000.0,
GoodwillImpairmentLoss / USD,,,,1300000000.0,,,,494000000.0,,,,0.0,,,,0.0,,,,48000000.0,,,,48000000.0,,,,41000000.0,,,,1098000000.0,,,,,,,,0.0,,,,0.0,,,,0.0,0.0,
IncomeLossFromContinuingOperations / USD,,,,,,,,,109000000.0,291000000.0,347000000.0,436000000.0,143000000.0,249000000.0,121000000.0,367000000.0,0.0,-219000000.0,-219000000.0,235000000.0,,,,-643000000.0,,,,,,,,,,,,,,,,,,,,,,248000000.0,312000000.0,,,149000000.0
IncomeLossFromContinuingOperationsAttributableToNoncontrollingEntity / USD,,,,,,,,,23000000.0,43000000.0,54000000.0,55000000.0,14000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64000000.0,86000000.0,154000000.0,65000000.0,31000000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic / USD,,,,-829000000.0,,,,-432000000.0,,,,-602000000.0,,,,148000000.0,,,,-125000000.0,,,,84000000.0,,,,-55000000.0,,,,99000000.0,,,,-310000000.0,,,,266000000.0,,,,194000000.0,,,,194000000.0,74000000.0,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest / USD,-111000000.0,1296000000.0,1633000000.0,-2377000000.0,-438000000.0,-483000000.0,-421000000.0,173000000.0,156000000.0,403000000.0,484000000.0,-178000000.0,52000000.0,207000000.0,-19000000.0,552000000.0,-1000000.0,-252000000.0,-207000000.0,181000000.0,141000000.0,310000000.0,-797000000.0,-615000000.0,178000000.0,352000000.0,382000000.0,-1089000000.0,-232000000.0,-77000000.0,-1123000000.0,354000000.0,72000000.0,418000000.0,557000000.0,-1524000000.0,338000000.0,699000000.0,832000000.0,450000000.0,101000000.0,256000000.0,347000000.0,812000000.0,95000000.0,379000000.0,475000000.0,837000000.0,380000000.0,210000000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign / USD,,,,-1548000000.0,,,,605000000.0,,,,424000000.0,,,,404000000.0,,,,306000000.0,,,,-699000000.0,,,,-1034000000.0,,,,255000000.0,,,,-1214000000.0,,,,184000000.0,,,,618000000.0,,,,643000000.0,306000000.0,
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest / USD,,,,,,,,,109000000.0,291000000.0,347000000.0,436000000.0,143000000.0,249000000.0,121000000.0,367000000.0,0.0,-219000000.0,-219000000.0,235000000.0,87000000.0,21000000.0,,,128000000.0,247000000.0,270000000.0,,,,,,,,,,,,,,,,,,,248000000.0,312000000.0,773000000.0,228000000.0,149000000.0
IncomeLossFromContinuingOperationsPerBasicShare / USD/shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,0.4,1.05,0.28,0.21
IncomeLossFromContinuingOperationsPerDilutedShare / USD/shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,0.39,1.04,0.28,0.21
IncomeLossFromDiscontinuedOperationsNetOfTax / USD,,,,,,,,,-21000000.0,-40000000.0,-62000000.0,-142000000.0,46000000.0,22000000.0,20000000.0,-445000000.0,0.0,0.0,0.0,15000000.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-7000000.0,-29000000.0,-13000000.0,-41000000.0,-5000000.0
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToNoncontrollingInterest / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9000000.0,-19000000.0,-17000000.0,-27000000.0,-6000000.0
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity / USD,,,,,,,,,-21000000.0,-40000000.0,-62000000.0,-142000000.0,46000000.0,22000000.0,20000000.0,-445000000.0,,,,15000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,-7000000.0,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare / USD/shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.02,0.01,-0.02,0.0
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare / USD/shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.01,0.01,-0.02,0.0
